t,spd
1.001482e+00,1.001215e+00
1.001515e+00,9.994359e-01
9.996865e-01,9.999191e-01
1.000042e+00,9.998430e-01
9.996408e-01,9.998991e-01
1.300000e+00,1.001095e+00
1.001395e+00,1.001393e+00
1.001343e+00,1.001326e+00
1.001389e+00,1.001521e+00
1.000851e+00,1.001435e+00
9.996032e-01,9.996207e-01
9.999331e-01,1.000052e+00
9.998549e-01,9.996265e-01
9.998847e-01,1.350000e+00
1.001069e+00,1.001337e+00
1.001335e+00,1.001328e+00
1.001338e+00,1.001366e+00
1.001514e+00,1.000594e+00
1.001327e+00,9.997928e-01
9.996886e-01,9.999529e-01
1.000051e+00,9.998628e-01
9.996238e-01,9.998682e-01
1.400000e+00,1.001049e+00
1.001272e+00,1.001270e+00
1.001300e+00,1.001332e+00
1.001330e+00,1.001452e+00
1.000478e+00,1.001201e+00
9.999758e-01,9.998549e-01
9.999785e-01,1.000045e+00
9.998669e-01,9.996321e-01
9.998506e-01,1.450000e+00
1.001029e+00,1.001201e+00
1.001200e+00,1.001255e+00
1.001304e+00,1.001277e+00
1.001335e+00,1.000501e+00
1.001071e+00,1.000132e+00
1.000056e+00,1.000009e+00
1.000036e+00,9.998677e-01
9.996503e-01,9.998333e-01
1.500000e+00,1.001010e+00
1.001129e+00,1.001129e+00
1.001196e+00,1.001252e+00
1.001210e+00,1.001174e+00
1.000627e+00,1.000950e+00
1.000247e+00,1.000226e+00
1.000041e+00,1.000028e+00
9.998663e-01,9.996770e-01
9.998177e-01,1.550000e+00
1.000994e+00,1.001059e+00
1.001060e+00,1.001121e+00
1.001178e+00,1.001129e+00
1.000990e+00,1.000800e+00
1.000851e+00,1.000315e+00
1.000317e+00,1.000072e+00
1.000023e+00,9.998638e-01
9.997104e-01,9.998049e-01
1.600000e+00,1.000981e+00
1.000992e+00,1.000994e+00
1.001036e+00,1.001087e+00
1.001036e+00,1.000809e+00
1.000962e+00,1.000783e+00
1.000334e+00,1.000314e+00
1.000097e+00,1.000023e+00
9.998612e-01,9.997484e-01
9.997959e-01,1.650000e+00
1.000969e+00,1.000929e+00
1.000933e+00,1.000943e+00
1.000984e+00,1.000937e+00
1.000655e+00,1.001068e+00
1.000746e+00,1.000306e+00
1.000231e+00,1.000112e+00
1.000026e+00,9.998595e-01
9.997890e-01,9.997912e-01
1.700000e+00,1.000953e+00
1.000870e+00,1.000876e+00
1.000846e+00,1.000876e+00
1.000837e+00,1.000546e+00
1.001092e+00,1.000737e+00
1.000238e+00,1.000107e+00
1.000114e+00,1.000032e+00
9.998593e-01,9.998301e-01
9.997909e-01,1.750000e+00
1.000925e+00,1.000816e+00
1.000822e+00,1.000752e+00
1.000768e+00,1.000744e+00
1.000492e+00,1.001035e+00
1.000746e+00,1.000143e+00
9.999814e-01,1.000103e+00
1.000037e+00,9.998611e-01
9.998700e-01,9.997948e-01
1.800000e+00,1.000880e+00
1.000765e+00,1.000770e+00
1.000664e+00,1.000667e+00
1.000665e+00,1.000490e+00
1.000914e+00,1.000762e+00
1.000035e+00,9.998899e-01
1.000079e+00,1.000040e+00
9.998652e-01,9.999071e-01
9.998026e-01,1.850000e+00
1.000814e+00,1.000717e+00
1.000720e+00,1.000588e+00
1.000579e+00,1.000605e+00
1.000527e+00,1.000756e+00
1.000771e+00,9.999299e-01
9.998493e-01,1.000048e+00
1.000039e+00,9.998719e-01
9.999401e-01,9.998139e-01
1.900000e+00,1.000729e+00
1.000669e+00,1.000670e+00
1.000527e+00,1.000507e+00
1.000566e+00,1.000583e+00
1.000593e+00,1.000763e+00
9.998442e-01,9.998580e-01
1.000014e+00,1.000033e+00
9.998814e-01,9.999680e-01
9.998283e-01,1.950000e+00
1.000631e+00,1.000622e+00
1.000621e+00,1.000482e+00
1.000454e+00,1.000546e+00
1.000636e+00,1.000448e+00
1.000732e+00,9.997893e-01
9.998997e-01,9.999815e-01
1.000024e+00,9.998938e-01
9.999905e-01,9.998454e-01
2.000000e+00,1.000529e+00
1.000576e+00,1.000573e+00
1.000453e+00,1.000421e+00
1.000539e+00,1.000665e+00
1.000338e+00,1.000677e+00
9.997708e-01,9.999517e-01
9.999548e-01,1.000011e+00
9.999090e-01,1.000007e+00
9.998648e-01,2.050000e+00
1.000434e+00,1.000530e+00
1.000526e+00,1.000437e+00
1.000405e+00,1.000539e+00
1.000657e+00,1.000266e+00
1.000603e+00,9.997875e-01
9.999937e-01,9.999361e-01
9.999955e-01,9.999268e-01
1.000019e+00,9.998860e-01
2.100000e+00,1.000356e+00
1.000486e+00,1.000482e+00
1.000430e+00,1.000404e+00
1.000536e+00,1.000609e+00
1.000228e+00,1.000516e+00
9.998322e-01,1.000014e+00
9.999258e-01,9.999795e-01
9.999469e-01,1.000025e+00
9.999084e-01,2.150000e+00
1.000302e+00,1.000442e+00
1.000441e+00,1.000427e+00
1.000410e+00,1.000523e+00
1.000524e+00,1.000215e+00
1.000425e+00,9.998930e-01
1.000011e+00,9.999228e-01
9.999640e-01,9.999688e-01
1.000028e+00,9.999315e-01
2.200000e+00,1.000272e+00
1.000401e+00,1.000402e+00
1.000420e+00,1.000418e+00
1.000495e+00,1.000415e+00
1.000215e+00,1.000340e+00
