f,phi,phv,pha
7.596078e-01,3.385660e+01,3.078519e+01,3.481090e+01
7.709804e-01,3.439252e+01,3.094174e+01,3.524184e+01
7.823529e-01,3.492910e+01,3.113353e+01,3.567112e+01
7.937255e-01,3.546631e+01,3.134509e+01,3.609872e+01
8.050980e-01,3.600412e+01,3.156734e+01,3.652459e+01
8.164706e-01,3.654251e+01,3.179439e+01,3.694869e+01
8.278431e-01,3.708146e+01,3.202418e+01,3.737101e+01
8.392157e-01,3.762093e+01,3.225623e+01,3.779150e+01
8.505882e-01,3.816091e+01,3.248699e+01,3.821015e+01
8.619608e-01,3.870137e+01,3.271420e+01,3.862691e+01
8.733333e-01,3.924227e+01,3.293674e+01,3.904178e+01
8.847059e-01,3.978359e+01,3.315376e+01,3.945471e+01
8.960784e-01,4.032530e+01,3.336447e+01,3.986569e+01
9.074510e-01,4.086737e+01,3.356810e+01,4.027469e+01
9.188235e-01,4.140976e+01,3.376392e+01,4.068170e+01
9.301961e-01,4.195245e+01,3.395118e+01,4.108670e+01
9.415686e-01,4.249539e+01,3.412911e+01,4.148966e+01
9.529412e-01,4.303857e+01,3.429692e+01,4.189056e+01
9.643137e-01,4.358193e+01,3.445373e+01,4.228940e+01
9.756863e-01,4.412546e+01,3.459860e+01,4.268615e+01
9.870588e-01,4.466912e+01,3.473051e+01,4.308080e+01
9.984314e-01,4.521286e+01,3.484830e+01,4.347333e+01
1.009804e+00,4.575666e+01,3.495065e+01,4.386373e+01
1.021176e+00,4.630047e+01,3.503607e+01,4.425199e+01
1.032549e+00,4.684427e+01,3.510282e+01,4.463810e+01
1.043922e+00,4.738801e+01,3.514888e+01,4.502204e+01
1.055294e+00,4.793166e+01,3.517181e+01,4.540381e+01
1.066667e+00,4.847518e+01,3.516873e+01,4.578339e+01
1.078039e+00,4.901853e+01,3.513608e+01,4.616078e+01
1.089412e+00,4.956167e+01,3.506947e+01,4.653596e+01
1.100784e+00,5.010457e+01,3.496334e+01,4.690894e+01
1.112157e+00,5.064718e+01,3.481052e+01,4.727970e+01
1.123529e+00,5.118948e+01,3.460155e+01,4.764823e+01
1.134902e+00,5.173142e+01,3.432359e+01,4.801454e+01
1.146275e+00,5.227295e+01,3.395868e+01,4.837861e+01
1.157647e+00,5.281405e+01,3.348105e+01,4.874044e+01
1.169020e+00,5.335468e+01,3.285286e+01,4.910003e+01
