f_sv,SVmp,SV
7.548799e-01,2.476401e+00,2.208111e+00
7.618718e-01,2.511264e+00,2.201345e+00
7.689284e-01,2.546757e+00,2.194431e+00
7.760503e-01,2.582756e+00,2.187383e+00
7.832383e-01,2.619126e+00,2.180214e+00
7.904928e-01,2.655722e+00,2.172937e+00
7.978145e-01,2.692381e+00,2.165564e+00
8.052040e-01,2.728926e+00,2.158109e+00
8.126619e-01,2.765159e+00,2.150583e+00
8.201889e-01,2.800865e+00,2.143000e+00
8.277857e-01,2.835804e+00,2.135372e+00
8.354528e-01,2.869713e+00,2.127712e+00
8.431909e-01,2.902307e+00,2.120034e+00
8.510007e-01,2.933274e+00,2.112353e+00
8.588829e-01,2.962277e+00,2.104683e+00
8.668380e-01,2.988956e+00,2.097040e+00
8.748668e-01,3.012933e+00,2.089440e+00
8.829700e-01,3.033809e+00,2.081901e+00
8.911482e-01,3.051179e+00,2.074439e+00
8.994022e-01,3.064632e+00,2.067073e+00
9.077327e-01,3.073769e+00,2.059818e+00
9.161402e-01,3.078212e+00,2.052692e+00
9.246257e-01,3.077623e+00,2.045706e+00
9.331898e-01,3.071725e+00,2.038866e+00
9.418332e-01,3.060322e+00,2.032170e+00
9.505566e-01,3.043329e+00,2.025602e+00
9.593608e-01,3.020792e+00,2.019125e+00
9.682466e-01,2.992925e+00,2.012672e+00
9.772147e-01,2.960128e+00,2.006135e+00
9.862658e-01,2.923008e+00,1.999353e+00
9.954008e-01,2.882399e+00,1.992098e+00
1.004620e+00,2.839354e+00,1.984068e+00
1.013925e+00,2.795132e+00,1.974892e+00
1.023317e+00,2.751157e+00,1.964160e+00
1.032795e+00,2.708951e+00,1.951486e+00
1.042361e+00,2.670050e+00,1.936627e+00
1.052015e+00,2.635920e+00,1.919636e+00
1.061759e+00,2.607910e+00,1.901025e+00
1.071593e+00,2.587295e+00,1.881881e+00
1.081519e+00,2.575400e+00,1.863821e+00
1.091536e+00,2.573716e+00,1.848730e+00
1.101646e+00,2.583797e+00,1.838291e+00
1.111850e+00,2.606800e+00,1.833434e+00
1.122148e+00,2.642820e+00,1.833989e+00
1.132541e+00,2.690435e+00,1.838717e+00
1.143031e+00,2.746788e+00,1.845720e+00
1.153618e+00,2.808197e+00,1.853007e+00
1.164303e+00,2.870954e+00,1.858953e+00
1.175087e+00,2.931963e+00,1.862521e+00
1.185971e+00,2.989039e+00,1.863257e+00
1.196956e+00,3.040895e+00,1.861158e+00
1.208042e+00,3.086946e+00,1.856498e+00
1.219231e+00,3.127067e+00,1.849685e+00
1.230524e+00,3.161397e+00,1.841155e+00
1.241921e+00,3.190197e+00,1.831312e+00
1.253424e+00,3.213773e+00,1.820507e+00
1.265034e+00,3.232433e+00,1.809025e+00
1.276751e+00,3.246479e+00,1.797090e+00
1.288576e+00,3.256198e+00,1.784872e+00
1.300511e+00,3.261869e+00,1.772502e+00
1.312557e+00,3.263765e+00,1.760074e+00
1.324714e+00,3.262152e+00,1.747656e+00
1.336984e+00,3.257292e+00,1.735297e+00
1.349367e+00,3.249443e+00,1.723030e+00
1.361865e+00,3.238858e+00,1.710879e+00
1.374479e+00,3.225782e+00,1.698856e+00
1.387210e+00,3.210452e+00,1.686972e+00
1.400058e+00,3.193095e+00,1.675230e+00
1.413026e+00,3.173926e+00,1.663632e+00
1.426114e+00,3.153151e+00,1.652177e+00
1.439323e+00,3.130961e+00,1.640864e+00
1.452654e+00,3.107534e+00,1.629689e+00
1.466109e+00,3.083037e+00,1.618650e+00
1.479688e+00,3.057622e+00,1.607743e+00
1.493393e+00,3.031430e+00,1.596964e+00
1.507225e+00,3.004589e+00,1.586309e+00
1.521186e+00,2.977217e+00,1.575775e+00
1.535275e+00,2.949419e+00,1.565359e+00
1.549495e+00,2.921291e+00,1.555056e+00
1.563847e+00,2.892920e+00,1.544865e+00
1.578331e+00,2.864382e+00,1.534783e+00
1.592950e+00,2.835746e+00,1.524806e+00
1.607704e+00,2.807075e+00,1.514934e+00
1.622595e+00,2.778422e+00,1.505163e+00
1.637624e+00,2.749837e+00,1.495492e+00
1.652792e+00,2.721361e+00,1.485919e+00
1.668101e+00,2.693031e+00,1.476443e+00
1.683551e+00,2.664882e+00,1.467063e+00
1.699144e+00,2.636940e+00,1.457777e+00
