f,gc1,pc1,gc2,pc2
7.995748e+01,-8.549637e+01,5.788886e+01,-1.459009e+02,1.463937e+02
8.072835e+01,-8.560600e+01,5.812283e+01,-1.460939e+02,1.466420e+02
8.149921e+01,-8.571426e+01,5.835388e+01,-1.462848e+02,1.468870e+02
8.227008e+01,-8.582116e+01,5.858206e+01,-1.464736e+02,1.471289e+02
8.304094e+01,-8.592675e+01,5.880742e+01,-1.466603e+02,1.473678e+02
8.381181e+01,-8.603105e+01,5.903000e+01,-1.468449e+02,1.476036e+02
8.458268e+01,-8.613409e+01,5.924983e+01,-1.470276e+02,1.478364e+02
8.535354e+01,-8.623590e+01,5.946696e+01,-1.472083e+02,1.480663e+02
8.612441e+01,-8.633651e+01,5.968143e+01,-1.473871e+02,1.482933e+02
8.689528e+01,-8.643593e+01,5.989329e+01,-1.475640e+02,1.485174e+02
8.766614e+01,-8.653421e+01,6.010256e+01,-1.477390e+02,1.487388e+02
8.843701e+01,-8.663135e+01,6.030929e+01,-1.479123e+02,1.489574e+02
8.920787e+01,-8.672739e+01,6.051352e+01,-1.480838e+02,1.491733e+02
8.997874e+01,-8.682235e+01,6.071528e+01,-1.482535e+02,1.493865e+02
9.074961e+01,-8.691625e+01,6.091462e+01,-1.484216e+02,1.495972e+02
9.152047e+01,-8.700911e+01,6.111157e+01,-1.485880e+02,1.498052e+02
9.229134e+01,-8.710096e+01,6.130616e+01,-1.487528e+02,1.500107e+02
9.306220e+01,-8.719181e+01,6.149843e+01,-1.489159e+02,1.502137e+02
9.383307e+01,-8.728169e+01,6.168842e+01,-1.490775e+02,1.504142e+02
9.460394e+01,-8.737061e+01,6.187617e+01,-1.492376e+02,1.506123e+02
9.537480e+01,-8.745860e+01,6.206170e+01,-1.493961e+02,1.508081e+02
9.614567e+01,-8.754567e+01,6.224504e+01,-1.495532e+02,1.510015e+02
9.691654e+01,-8.763184e+01,6.242625e+01,-1.497087e+02,1.511926e+02
9.768740e+01,-8.771713e+01,6.260533e+01,-1.498629e+02,1.513814e+02
9.845827e+01,-8.780155e+01,6.278234e+01,-1.500156e+02,1.515680e+02
9.922913e+01,-8.788512e+01,6.295729e+01,-1.501670e+02,1.517523e+02
1.000000e+02,-8.796786e+01,6.313022e+01,-1.503170e+02,1.519346e+02
