f_sv,SV_m1,SV_m1,SV_f1,SV_f2
3.855133e+01,4.506972e-03,4.506972e-03,6.387472e-02,6.387472e-02
4.025833e+01,4.316398e-03,4.316398e-03,6.155406e-02,6.155406e-02
4.204092e+01,4.133838e-03,4.133838e-03,5.929051e-02,5.929051e-02
4.390243e+01,3.958961e-03,3.958961e-03,5.708565e-02,5.708565e-02
4.584637e+01,3.791449e-03,3.791449e-03,5.494068e-02,5.494068e-02
4.787638e+01,3.630995e-03,3.630995e-03,5.285644e-02,5.285644e-02
4.999628e+01,3.477307e-03,3.477307e-03,5.083345e-02,5.083345e-02
5.221005e+01,3.330101e-03,3.330101e-03,4.887191e-02,4.887191e-02
5.452184e+01,3.189108e-03,3.189108e-03,4.697179e-02,4.697179e-02
5.693599e+01,3.054067e-03,3.054067e-03,4.513279e-02,4.513279e-02
5.945704e+01,2.924730e-03,2.924730e-03,4.335442e-02,4.335442e-02
6.208972e+01,2.800858e-03,2.800858e-03,4.163598e-02,4.163598e-02
6.483897e+01,2.682220e-03,2.682220e-03,3.997664e-02,3.997664e-02
6.770995e+01,2.568598e-03,2.568598e-03,3.837541e-02,3.837541e-02
7.070805e+01,2.459780e-03,2.459780e-03,3.683119e-02,3.683119e-02
7.383891e+01,2.355565e-03,2.355565e-03,3.534280e-02,3.534280e-02
7.710839e+01,2.255758e-03,2.255758e-03,3.390895e-02,3.390895e-02
8.052265e+01,2.160175e-03,2.160175e-03,3.252830e-02,3.252830e-02
8.408808e+01,2.068636e-03,2.068636e-03,3.119948e-02,3.119948e-02
8.781138e+01,1.980972e-03,1.980972e-03,2.992105e-02,2.992105e-02
9.169955e+01,1.897019e-03,1.897019e-03,2.869157e-02,2.869157e-02
9.575988e+01,1.816621e-03,1.816621e-03,2.750957e-02,2.750957e-02
1.000000e+02,1.739627e-03,1.739627e-03,2.637358e-02,2.637358e-02
