k,rpb,ipb,rzb,izb,rp1,ip1,rz1,iz1,rp2,ip2,rz2,iz2,rp3,ip3,rz3,iz3
3.900000e+01,-2.001264e+00,0.000000e+00,-6.488487e-01,-5.854484e-01,-2.001094e+00,0.000000e+00,-6.551666e-01,-5.916392e-01,-2.001765e+00,0.000000e+00,-2.003974e+00,0.000000e+00,-2.002168e+00,6.444534e-04,-2.491665e-01,-6.450283e-01
4.000000e+01,-2.000137e+00,0.000000e+00,-2.491632e-01,6.450260e-01,-2.000793e+00,0.000000e+00,-2.491638e-01,6.450309e-01,-2.002412e+00,0.000000e+00,-6.548835e-01,5.902475e-01,-2.002168e+00,-6.444534e-04,-6.607589e-01,5.953839e-01
4.100000e+01,-1.591331e+00,0.000000e+00,-2.491632e-01,-6.450260e-01,-1.591331e+00,0.000000e+00,-2.491638e-01,-6.450309e-01,-1.591330e+00,0.000000e+00,-6.548835e-01,-5.902475e-01,-1.591330e+00,0.000000e+00,-6.607589e-01,-5.953839e-01
4.200000e+01,6.338622e-06,0.000000e+00,-3.835636e-01,4.573244e-01,6.107347e-06,0.000000e+00,-3.357276e-01,4.181081e-01,6.601522e-06,0.000000e+00,-2.491657e-01,6.450243e-01,8.198556e-06,0.000000e+00,-7.825097e-06,0.000000e+00
4.300000e+01,-2.491749e-01,6.450021e-01,-3.835636e-01,-4.573244e-01,-2.491742e-01,6.450034e-01,-3.357276e-01,-4.181081e-01,-2.491780e-01,6.449994e-01,-2.491657e-01,-6.450243e-01,-2.491753e-01,6.449988e-01,-3.365843e-01,4.182568e-01
4.400000e+01,-2.491749e-01,-6.450021e-01,-3.348109e-01,4.177496e-01,-2.491742e-01,-6.450034e-01,-3.837378e-01,4.574755e-01,-2.491780e-01,-6.449994e-01,-5.249003e-06,0.000000e+00,-2.491753e-01,-6.449988e-01,-3.365843e-01,-4.182568e-01
4.500000e+01,-3.829645e-01,4.500633e-01,-3.348109e-01,-4.177496e-01,-3.862831e-01,4.499222e-01,-3.837378e-01,-4.574755e-01,-3.871447e-01,4.550194e-01,-3.357768e-01,4.179859e-01,-3.901818e-01,4.612066e-01,-4.144875e-01,4.559345e-01
4.600000e+01,-3.829645e-01,-4.500633e-01,-2.955720e-06,0.000000e+00,-3.862831e-01,-4.499222e-01,-6.447727e-06,0.000000e+00,-3.871447e-01,-4.550194e-01,-3.357768e-01,-4.179859e-01,-3.901818e-01,-4.612066e-01,-4.144875e-01,-4.559345e-01
4.700000e+01,-3.734818e-01,4.511444e-01,-5.221732e-01,0.000000e+00,-3.747797e-01,4.543026e-01,-5.213077e-01,0.000000e+00,-4.055851e-01,4.469888e-01,-4.141309e-01,4.556101e-01,-4.059692e-01,4.429685e-01,-5.213884e-01,0.000000e+00
4.800000e+01,-3.734818e-01,-4.511444e-01,-1.998219e+00,0.000000e+00,-3.747797e-01,-4.543026e-01,-1.998337e+00,0.000000e+00,-4.055851e-01,-4.469888e-01,-4.141309e-01,-4.556101e-01,-4.059692e-01,-4.429685e-01,-2.004015e+00,0.000000e+00
4.900000e+01,-7.378778e-01,0.000000e+00,-2.001699e+00,0.000000e+00,-5.828997e-01,0.000000e+00,-2.001606e+00,0.000000e+00,-5.856552e-01,0.000000e+00,-5.226268e-01,0.000000e+00,-6.164849e-01,1.920791e-02,-1.998081e+00,0.000000e+00
5.000000e+01,-5.752787e-01,0.000000e+00,-1.959232e-01,0.000000e+00,-6.800325e-01,0.000000e+00,-1.959685e-01,0.000000e+00,-6.779097e-01,0.000000e+00,-1.958172e-01,0.000000e+00,-6.164849e-01,-1.920791e-02,-1.960619e-01,0.000000e+00
5.100000e+01,-1.962083e-01,0.000000e+00,-1.985566e-01,0.000000e+00,-1.946842e-01,0.000000e+00,-1.985568e-01,0.000000e+00,-1.946096e-01,0.000000e+00,-1.986054e-01,0.000000e+00,-1.923963e-01,0.000000e+00,-1.986072e-01,0.000000e+00
5.200000e+01,-1.986294e-01,0.000000e+00,-1.986289e-01,0.000000e+00,-1.986195e-01,0.000000e+00,-1.986227e-01,0.000000e+00,-1.986138e-01,0.000000e+00,-1.985280e-01,0.000000e+00,-1.986163e-01,0.000000e+00,-1.985221e-01,0.000000e+00
5.300000e+01,-1.986023e-01,0.000000e+00,-1.000000e+01,0.000000e+00,-1.986064e-01,0.000000e+00,-1.000000e+01,0.000000e+00,-1.985518e-01,0.000000e+00,-1.000000e+01,0.000000e+00,-1.985503e-01,0.000000e+00,-1.000000e+01,0.000000e+00
