k1,mag1,ang1,re1,im1,k2,mag2,ang2,re2,im2
1.090000e+02,5.629621e+01,-1.682964e+02,-5.512582e+01,-1.141958e+01,1.090000e+02,5.625988e+01,-1.736424e+02,-5.591389e+01,-6.229841e+00
1.100000e+02,9.989505e+01,1.800000e+02,-9.989505e+01,0.000000e+00,1.100000e+02,9.996976e+01,1.800000e+02,-9.996976e+01,0.000000e+00
1.110000e+02,7.822860e+00,8.771132e+01,3.124016e-01,7.816619e+00,1.110000e+02,1.138507e+01,9.290875e+01,-5.777399e-01,1.137040e+01
1.120000e+02,7.822860e+00,-8.771132e+01,3.124016e-01,-7.816619e+00,1.120000e+02,1.138507e+01,-9.290875e+01,-5.777399e-01,-1.137040e+01
1.130000e+02,7.101642e-01,1.800000e+02,-7.101642e-01,0.000000e+00,1.130000e+02,7.093017e-01,1.800000e+02,-7.093017e-01,0.000000e+00
1.140000e+02,1.850515e+00,1.800000e+02,-1.850515e+00,0.000000e+00,1.140000e+02,1.606154e+00,1.800000e+02,-1.606154e+00,0.000000e+00
1.150000e+02,3.340735e+00,1.800000e+02,-3.340735e+00,0.000000e+00,1.150000e+02,3.334071e+00,1.800000e+02,-3.334071e+00,0.000000e+00
1.160000e+02,1.410674e+01,1.123590e+02,-5.366329e+00,1.304617e+01,1.160000e+02,1.002308e+01,1.593212e+02,-9.377340e+00,3.539444e+00
1.170000e+02,1.410674e+01,-1.123590e+02,-5.366329e+00,-1.304617e+01,1.170000e+02,1.002308e+01,-1.593212e+02,-9.377340e+00,-3.539444e+00
1.180000e+02,2.218479e+01,1.800000e+02,-2.218479e+01,0.000000e+00,1.180000e+02,3.028083e+01,1.800000e+02,-3.028083e+01,0.000000e+00
1.190000e+02,5.633458e+01,1.683367e+02,-5.517142e+01,1.138856e+01,1.190000e+02,5.627093e+01,1.736590e+02,-5.592667e+01,6.214906e+00
1.200000e+02,5.633458e+01,-1.683367e+02,-5.517142e+01,-1.138856e+01,1.200000e+02,5.627093e+01,-1.736590e+02,-5.592667e+01,-6.214906e+00
1.210000e+02,9.988323e+01,1.800000e+02,-9.988323e+01,0.000000e+00,1.210000e+02,9.996639e+01,1.800000e+02,-9.996639e+01,0.000000e+00
1.220000e+02,7.833052e+00,8.784182e+01,2.949799e-01,7.827496e+00,1.220000e+02,1.139106e+01,9.290086e+01,-5.764788e-01,1.137646e+01
1.230000e+02,7.833052e+00,-8.784182e+01,2.949799e-01,-7.827496e+00,1.230000e+02,1.139106e+01,-9.290086e+01,-5.764788e-01,-1.137646e+01
1.240000e+02,7.102589e-01,1.800000e+02,-7.102589e-01,0.000000e+00,1.240000e+02,7.093099e-01,1.800000e+02,-7.093099e-01,0.000000e+00
1.250000e+02,1.850517e+00,1.800000e+02,-1.850517e+00,0.000000e+00,1.250000e+02,1.606155e+00,1.800000e+02,-1.606155e+00,0.000000e+00
1.260000e+02,3.341483e+00,1.800000e+02,-3.341483e+00,0.000000e+00,1.260000e+02,3.334145e+00,1.800000e+02,-3.334145e+00,0.000000e+00
1.270000e+02,1.407921e+01,1.121669e+02,-5.312175e+00,1.303860e+01,1.270000e+02,1.001532e+01,1.592532e+02,-9.365877e+00,3.547815e+00
1.280000e+02,1.407921e+01,-1.121669e+02,-5.312175e+00,-1.303860e+01,1.280000e+02,1.001532e+01,-1.592532e+02,-9.365877e+00,-3.547815e+00
1.290000e+02,2.217825e+01,1.800000e+02,-2.217825e+01,0.000000e+00,1.290000e+02,3.028402e+01,1.800000e+02,-3.028402e+01,0.000000e+00
1.300000e+02,5.637286e+01,1.683771e+02,-5.521693e+01,1.135738e+01,1.300000e+02,5.628198e+01,1.736756e+02,-5.593945e+01,6.199922e+00
1.310000e+02,5.637286e+01,-1.683771e+02,-5.521693e+01,-1.135738e+01,1.310000e+02,5.628198e+01,-1.736756e+02,-5.593945e+01,-6.199922e+00
1.320000e+02,9.987137e+01,1.800000e+02,-9.987137e+01,0.000000e+00,1.320000e+02,9.996301e+01,1.800000e+02,-9.996301e+01,0.000000e+00
1.330000e+02,7.843282e+00,8.797380e+01,2.773114e-01,7.838378e+00,1.330000e+02,1.139705e+01,9.289293e+01,-5.752060e-01,1.138252e+01
1.340000e+02,7.843282e+00,-8.797380e+01,2.773114e-01,-7.838378e+00,1.340000e+02,1.139705e+01,-9.289293e+01,-5.752060e-01,-1.138252e+01
1.350000e+02,7.103536e-01,1.800000e+02,-7.103536e-01,0.000000e+00,1.350000e+02,7.093180e-01,1.800000e+02,-7.093180e-01,0.000000e+00
1.360000e+02,1.850518e+00,1.800000e+02,-1.850518e+00,0.000000e+00,1.360000e+02,1.606156e+00,1.800000e+02,-1.606156e+00,0.000000e+00
1.370000e+02,3.342231e+00,1.800000e+02,-3.342231e+00,0.000000e+00,1.370000e+02,3.334219e+00,1.800000e+02,-3.334219e+00,0.000000e+00
1.380000e+02,1.405170e+01,1.119736e+02,-5.257853e+00,1.303094e+01,1.380000e+02,1.000757e+01,1.591856e+02,-9.354442e+00,3.556104e+00
1.390000e+02,1.405170e+01,-1.119736e+02,-5.257853e+00,-1.303094e+01,1.390000e+02,1.000757e+01,-1.591856e+02,-9.354442e+00,-3.556104e+00
1.400000e+02,2.217177e+01,1.800000e+02,-2.217177e+01,0.000000e+00,1.400000e+02,3.028720e+01,1.800000e+02,-3.028720e+01,0.000000e+00
1.410000e+02,5.641105e+01,1.684176e+02,-5.526234e+01,1.132605e+01,1.410000e+02,5.629302e+01,1.736922e+02,-5.595222e+01,6.184890e+00
1.420000e+02,5.641105e+01,-1.684176e+02,-5.526234e+01,-1.132605e+01,1.420000e+02,5.629302e+01,-1.736922e+02,-5.595222e+01,-6.184890e+00
1.430000e+02,9.985948e+01,1.800000e+02,-9.985948e+01,0.000000e+00,1.430000e+02,9.995963e+01,1.800000e+02,-9.995963e+01,0.000000e+00
1.440000e+02,7.853550e+00,8.810727e+01,2.593897e-01,7.849265e+00,1.440000e+02,1.140303e+01,9.288495e+01,-5.739215e-01,1.138858e+01
1.450000e+02,7.853550e+00,-8.810727e+01,2.593897e-01,-7.849265e+00,1.450000e+02,1.140303e+01,-9.288495e+01,-5.739215e-01,-1.138858e+01
1.460000e+02,7.104484e-01,1.800000e+02,-7.104484e-01,0.000000e+00,1.460000e+02,7.093262e-01,1.800000e+02,-7.093262e-01,0.000000e+00
1.470000e+02,1.850519e+00,1.800000e+02,-1.850519e+00,0.000000e+00,1.470000e+02,1.606156e+00,1.800000e+02,-1.606156e+00,0.000000e+00
1.480000e+02,3.342981e+00,1.800000e+02,-3.342981e+00,0.000000e+00,1.480000e+02,3.334293e+00,1.800000e+02,-3.334293e+00,0.000000e+00
1.490000e+02,1.402422e+01,1.117789e+02,-5.203356e+00,1.302320e+01,1.490000e+02,9.999832e+00,1.591184e+02,-9.343035e+00,3.564312e+00
1.500000e+02,1.402422e+01,-1.117789e+02,-5.203356e+00,-1.302320e+01,1.500000e+02,9.999832e+00,-1.591184e+02,-9.343035e+00,-3.564312e+00
1.510000e+02,2.216534e+01,1.800000e+02,-2.216534e+01,0.000000e+00,1.510000e+02,3.029036e+01,1.800000e+02,-3.029036e+01,0.000000e+00
1.520000e+02,5.644914e+01,1.684581e+02,-5.530767e+01,1.129457e+01,1.520000e+02,5.630404e+01,1.737089e+02,-5.596498e+01,6.169808e+00
1.530000e+02,5.644914e+01,-1.684581e+02,-5.530767e+01,-1.129457e+01,1.530000e+02,5.630404e+01,-1.737089e+02,-5.596498e+01,-6.169808e+00
1.540000e+02,9.984756e+01,1.800000e+02,-9.984756e+01,0.000000e+00,1.540000e+02,9.995625e+01,1.800000e+02,-9.995625e+01,0.000000e+00
1.550000e+02,7.863852e+00,8.824229e+01,2.412086e-01,7.860152e+00,1.550000e+02,1.140903e+01,9.287691e+01,-5.726251e-01,1.139465e+01
1.560000e+02,7.863852e+00,-8.824229e+01,2.412086e-01,-7.860152e+00,1.560000e+02,1.140903e+01,-9.287691e+01,-5.726251e-01,-1.139465e+01
1.570000e+02,7.105433e-01,1.800000e+02,-7.105433e-01,0.000000e+00,1.570000e+02,7.093344e-01,1.800000e+02,-7.093344e-01,0.000000e+00
1.580000e+02,1.850521e+00,1.800000e+02,-1.850521e+00,0.000000e+00,1.580000e+02,1.606157e+00,1.800000e+02,-1.606157e+00,0.000000e+00
