f,g,ph
3.452713e+01,-1.138249e+00,4.572293e+01
3.483970e+01,-1.054969e+00,4.386991e+01
3.515509e+01,-9.835200e-01,4.215642e+01
3.547335e+01,-9.216439e-01,4.056027e+01
3.579448e+01,-8.676285e-01,3.906286e+01
3.611852e+01,-8.201641e-01,3.764829e+01
3.644549e+01,-7.782409e-01,3.630269e+01
3.677543e+01,-7.410791e-01,3.501368e+01
3.710835e+01,-7.080796e-01,3.376989e+01
3.744428e+01,-6.787903e-01,3.256052e+01
3.778326e+01,-6.528849e-01,3.137495e+01
3.812530e+01,-6.301523e-01,3.020229e+01
3.847044e+01,-6.104949e-01,2.903086e+01
3.881871e+01,-5.939405e-01,2.784754e+01
3.917013e+01,-5.806680e-01,2.663693e+01
3.952473e+01,-5.710577e-01,2.538017e+01
3.988254e+01,-5.657813e-01,2.405306e+01
4.024359e+01,-5.659611e-01,2.262336e+01
4.060790e+01,-5.734630e-01,2.104620e+01
4.097552e+01,-5.914566e-01,1.925634e+01
4.134646e+01,-6.255575e-01,1.715435e+01
4.172076e+01,-6.863417e-01,1.458015e+01
4.209845e+01,-7.954507e-01,1.125888e+01
4.247956e+01,-1.002416e+00,6.680502e+00
4.286412e+01,-1.439384e+00,-1.920867e-01
4.325216e+01,-2.543531e+00,-1.166260e+01
4.364372e+01,-6.303973e+00,-3.262623e+01
4.403881e+01,-2.349542e+01,1.081297e+02
4.443749e+01,-4.977080e+00,7.958865e+01
4.483977e+01,-2.159353e+00,6.123097e+01
4.524570e+01,-1.250442e+00,5.111557e+01
4.565530e+01,-8.615543e-01,4.496457e+01
4.606861e+01,-6.612273e-01,4.084477e+01
4.648566e+01,-5.438242e-01,3.787248e+01
4.690648e+01,-4.682059e-01,3.560461e+01
4.733112e+01,-4.158582e-01,3.379865e+01
4.775960e+01,-3.775008e-01,3.231183e+01
4.819196e+01,-3.480791e-01,3.105499e+01
4.862823e+01,-3.246524e-01,2.996973e+01
4.906845e+01,-3.054164e-01,2.901621e+01
4.951266e+01,-2.892136e-01,2.816632e+01
4.996089e+01,-2.752731e-01,2.739968e+01
5.041317e+01,-2.630648e-01,2.670115e+01
5.086955e+01,-2.522140e-01,2.605919e+01
5.133007e+01,-2.424490e-01,2.546491e+01
5.179475e+01,-2.335686e-01,2.491130e+01
5.226363e+01,-2.254212e-01,2.439274e+01
5.273677e+01,-2.178898e-01,2.390473e+01
5.321418e+01,-2.108833e-01,2.344354e+01
5.369592e+01,-2.043296e-01,2.300611e+01
5.418202e+01,-1.981706e-01,2.258988e+01
5.467252e+01,-1.923590e-01,2.219267e+01
5.516746e+01,-1.868562e-01,2.181264e+01
5.566688e+01,-1.816297e-01,2.144823e+01
5.617082e+01,-1.766526e-01,2.109806e+01
5.667932e+01,-1.719018e-01,2.076096e+01
5.719243e+01,-1.673578e-01,2.043588e+01
5.771018e+01,-1.630034e-01,2.012193e+01
5.823262e+01,-1.588242e-01,1.981828e+01
5.875979e+01,-1.548071e-01,1.952424e+01
5.929173e+01,-1.509410e-01,1.923917e+01
5.982849e+01,-1.472157e-01,1.896248e+01
6.037010e+01,-1.436223e-01,1.869368e+01
6.091662e+01,-1.401529e-01,1.843229e+01
6.146809e+01,-1.368002e-01,1.817790e+01
6.202455e+01,-1.335577e-01,1.793011e+01
6.258604e+01,-1.304195e-01,1.768859e+01
6.315262e+01,-1.273802e-01,1.745302e+01
6.372433e+01,-1.244349e-01,1.722309e+01
6.430121e+01,-1.215789e-01,1.699854e+01
6.488332e+01,-1.188083e-01,1.677912e+01
6.547070e+01,-1.161190e-01,1.656460e+01
6.606339e+01,-1.135074e-01,1.635477e+01
6.666145e+01,-1.109703e-01,1.614942e+01
6.726492e+01,-1.085046e-01,1.594838e+01
6.787386e+01,-1.061072e-01,1.575146e+01
6.848831e+01,-1.037755e-01,1.555851e+01
6.910832e+01,-1.015070e-01,1.536938e+01
6.973394e+01,-9.929914e-02,1.518392e+01
7.036523e+01,-9.714978e-02,1.500201e+01
7.100223e+01,-9.505674e-02,1.482351e+01
7.164500e+01,-9.301800e-02,1.464831e+01
7.229359e+01,-9.103164e-02,1.447630e+01
7.294805e+01,-8.909586e-02,1.430737e+01
7.360844e+01,-8.720893e-02,1.414142e+01
7.427480e+01,-8.536921e-02,1.397836e+01
7.494719e+01,-8.357515e-02,1.381809e+01
7.562568e+01,-8.182526e-02,1.366054e+01
7.631030e+01,-8.011813e-02,1.350562e+01
7.700112e+01,-7.845240e-02,1.335325e+01
7.769820e+01,-7.682679e-02,1.320337e+01
7.840159e+01,-7.524006e-02,1.305590e+01
7.911134e+01,-7.369103e-02,1.291077e+01
7.982752e+01,-7.217857e-02,1.276792e+01
8.055018e+01,-7.070158e-02,1.262730e+01
8.127939e+01,-6.925904e-02,1.248883e+01
8.201520e+01,-6.784993e-02,1.235247e+01
8.275766e+01,-6.647331e-02,1.221817e+01
8.350685e+01,-6.512824e-02,1.208586e+01
8.426282e+01,-6.381383e-02,1.195551e+01
8.502564e+01,-6.252924e-02,1.182706e+01
8.579536e+01,-6.127363e-02,1.170047e+01
8.657205e+01,-6.004622e-02,1.157569e+01
8.735577e+01,-5.884623e-02,1.145269e+01
8.814658e+01,-5.767294e-02,1.133142e+01
8.894456e+01,-5.652562e-02,1.121184e+01
8.974975e+01,-5.540359e-02,1.109392e+01
9.056224e+01,-5.430619e-02,1.097762e+01
9.138208e+01,-5.323277e-02,1.086290e+01
9.220935e+01,-5.218272e-02,1.074973e+01
9.304410e+01,-5.115543e-02,1.063808e+01
9.388641e+01,-5.015033e-02,1.052791e+01
9.473635e+01,-4.916684e-02,1.041921e+01
9.559398e+01,-4.820444e-02,1.031192e+01
9.645937e+01,-4.726259e-02,1.020604e+01
9.733260e+01,-4.634077e-02,1.010152e+01
9.821373e+01,-4.543851e-02,9.998344e+00
9.910284e+01,-4.455531e-02,9.896486e+00
1.000000e+02,-4.369072e-02,9.795919e+00
