f,m1,p1,m2,p2,m3,p3
5.314840e+01,2.107658e+01,-8.999535e+01,2.107655e+01,-8.999070e+01,2.107645e+01,-8.998143e+01
5.560298e+01,2.067934e+01,-8.999594e+01,2.067932e+01,-8.999188e+01,2.067923e+01,-8.998379e+01
5.817091e+01,2.028254e+01,-8.999646e+01,2.028252e+01,-8.999291e+01,2.028245e+01,-8.998585e+01
6.085745e+01,1.988615e+01,-8.999691e+01,1.988613e+01,-8.999381e+01,1.988607e+01,-8.998765e+01
6.366805e+01,1.949012e+01,-8.999730e+01,1.949011e+01,-8.999460e+01,1.949006e+01,-8.998921e+01
6.660846e+01,1.909443e+01,-8.999764e+01,1.909442e+01,-8.999529e+01,1.909438e+01,-8.999058e+01
6.968467e+01,1.869905e+01,-8.999794e+01,1.869904e+01,-8.999588e+01,1.869900e+01,-8.999178e+01
7.290295e+01,1.830394e+01,-8.999820e+01,1.830393e+01,-8.999641e+01,1.830390e+01,-8.999282e+01
7.626986e+01,1.790909e+01,-8.999843e+01,1.790909e+01,-8.999686e+01,1.790906e+01,-8.999373e+01
7.979226e+01,1.751447e+01,-8.999863e+01,1.751447e+01,-8.999726e+01,1.751445e+01,-8.999453e+01
8.347734e+01,1.712007e+01,-8.999880e+01,1.712007e+01,-8.999761e+01,1.712005e+01,-8.999522e+01
8.733262e+01,1.672586e+01,-8.999896e+01,1.672586e+01,-8.999791e+01,1.672584e+01,-8.999583e+01
9.136594e+01,1.633183e+01,-8.999909e+01,1.633183e+01,-8.999818e+01,1.633182e+01,-8.999636e+01
9.558553e+01,1.593796e+01,-8.999920e+01,1.593796e+01,-8.999841e+01,1.593795e+01,-8.999682e+01
1.000000e+02,1.554424e+01,-8.999930e+01,1.554424e+01,-8.999861e+01,1.554423e+01,-8.999722e+01
1.046183e+02,1.515065e+01,-8.999939e+01,1.515065e+01,-8.999879e+01,1.515065e+01,-8.999757e+01
1.094500e+02,1.475719e+01,-8.999947e+01,1.475719e+01,-8.999894e+01,1.475719e+01,-8.999788e+01
1.145048e+02,1.436384e+01,-8.999954e+01,1.436384e+01,-8.999907e+01,1.436384e+01,-8.999815e+01
1.197930e+02,1.397060e+01,-8.999960e+01,1.397060e+01,-8.999919e+01,1.397059e+01,-8.999838e+01
1.253254e+02,1.357744e+01,-8.999965e+01,1.357744e+01,-8.999929e+01,1.357744e+01,-8.999859e+01
1.311134e+02,1.318438e+01,-8.999969e+01,1.318438e+01,-8.999938e+01,1.318438e+01,-8.999877e+01
1.371687e+02,1.279139e+01,-8.999973e+01,1.279139e+01,-8.999946e+01,1.279139e+01,-8.999892e+01
1.435036e+02,1.239848e+01,-8.999977e+01,1.239847e+01,-8.999953e+01,1.239847e+01,-8.999906e+01
1.501311e+02,1.200563e+01,-8.999979e+01,1.200562e+01,-8.999959e+01,1.200562e+01,-8.999918e+01
1.570646e+02,1.161283e+01,-8.999982e+01,1.161283e+01,-8.999964e+01,1.161283e+01,-8.999928e+01
1.643184e+02,1.122010e+01,-8.999984e+01,1.122010e+01,-8.999969e+01,1.122010e+01,-8.999937e+01
1.719072e+02,1.082741e+01,-8.999986e+01,1.082741e+01,-8.999973e+01,1.082741e+01,-8.999945e+01
1.798465e+02,1.043477e+01,-8.999988e+01,1.043477e+01,-8.999976e+01,1.043477e+01,-8.999952e+01
1.881524e+02,1.004218e+01,-8.999990e+01,1.004218e+01,-8.999979e+01,1.004218e+01,-8.999958e+01
1.968419e+02,9.649616e+00,-8.999991e+01,9.649616e+00,-8.999982e+01,9.649615e+00,-8.999964e+01
2.059328e+02,9.257091e+00,-8.999992e+01,9.257091e+00,-8.999984e+01,9.257090e+00,-8.999968e+01
2.154435e+02,8.864597e+00,-8.999993e+01,8.864597e+00,-8.999986e+01,8.864597e+00,-8.999972e+01
2.253934e+02,8.472133e+00,-8.999994e+01,8.472133e+00,-8.999988e+01,8.472133e+00,-8.999976e+01
2.358028e+02,8.079695e+00,-8.999995e+01,8.079695e+00,-8.999989e+01,8.079695e+00,-8.999979e+01
2.466930e+02,7.687282e+00,-8.999995e+01,7.687282e+00,-8.999991e+01,7.687282e+00,-8.999982e+01
2.580862e+02,7.294891e+00,-8.999996e+01,7.294890e+00,-8.999992e+01,7.294890e+00,-8.999984e+01
2.700055e+02,6.902519e+00,-8.999996e+01,6.902519e+00,-8.999993e+01,6.902519e+00,-8.999986e+01
2.824752e+02,6.510167e+00,-8.999997e+01,6.510167e+00,-8.999994e+01,6.510167e+00,-8.999988e+01
2.955209e+02,6.117831e+00,-8.999997e+01,6.117831e+00,-8.999995e+01,6.117831e+00,-8.999989e+01
3.091691e+02,5.725511e+00,-8.999998e+01,5.725511e+00,-8.999995e+01,5.725511e+00,-8.999991e+01
3.234476e+02,5.333205e+00,-8.999998e+01,5.333205e+00,-8.999996e+01,5.333205e+00,-8.999992e+01
3.383855e+02,4.940912e+00,-8.999998e+01,4.940912e+00,-8.999996e+01,4.940912e+00,-8.999993e+01
3.540133e+02,4.548630e+00,-8.999998e+01,4.548630e+00,-8.999997e+01,4.548630e+00,-8.999994e+01
3.703629e+02,4.156359e+00,-8.999999e+01,4.156359e+00,-8.999997e+01,4.156359e+00,-8.999995e+01
3.874675e+02,3.764099e+00,-8.999999e+01,3.764099e+00,-8.999998e+01,3.764099e+00,-8.999995e+01
4.053621e+02,3.371847e+00,-8.999999e+01,3.371847e+00,-8.999998e+01,3.371847e+00,-8.999996e+01
4.240831e+02,2.979603e+00,-8.999999e+01,2.979603e+00,-8.999998e+01,2.979603e+00,-8.999996e+01
4.436687e+02,2.587367e+00,-8.999999e+01,2.587367e+00,-8.999998e+01,2.587367e+00,-8.999997e+01
4.641589e+02,2.195137e+00,-8.999999e+01,2.195137e+00,-8.999999e+01,2.195137e+00,-8.999997e+01
4.855953e+02,1.802914e+00,-8.999999e+01,1.802914e+00,-8.999999e+01,1.802914e+00,-8.999998e+01
5.080218e+02,1.410697e+00,-8.999999e+01,1.410697e+00,-8.999999e+01,1.410697e+00,-8.999998e+01
5.314840e+02,1.018485e+00,-9.000000e+01,1.018485e+00,-8.999999e+01,1.018485e+00,-8.999998e+01
