t,f0,f1,f2,f3
6.266667e+00,5.992993e+01,5.993563e+01,5.993788e+01,5.993979e+01
6.300000e+00,5.993017e+01,5.993571e+01,5.993791e+01,5.993980e+01
6.333333e+00,5.993040e+01,5.993579e+01,5.993795e+01,5.993980e+01
6.366667e+00,5.993062e+01,5.993587e+01,5.993798e+01,5.993981e+01
6.400000e+00,5.993084e+01,5.993595e+01,5.993802e+01,5.993982e+01
6.433333e+00,5.993106e+01,5.993602e+01,5.993805e+01,5.993982e+01
6.466667e+00,5.993127e+01,5.993610e+01,5.993808e+01,5.993983e+01
6.500000e+00,5.993148e+01,5.993617e+01,5.993812e+01,5.993984e+01
6.533333e+00,5.993168e+01,5.993624e+01,5.993815e+01,5.993984e+01
6.566667e+00,5.993188e+01,5.993631e+01,5.993818e+01,5.993985e+01
6.600000e+00,5.993208e+01,5.993638e+01,5.993821e+01,5.993986e+01
6.633333e+00,5.993227e+01,5.993645e+01,5.993824e+01,5.993986e+01
6.666667e+00,5.993246e+01,5.993652e+01,5.993827e+01,5.993987e+01
6.700000e+00,5.993264e+01,5.993658e+01,5.993830e+01,5.993987e+01
6.733333e+00,5.993282e+01,5.993665e+01,5.993833e+01,5.993988e+01
6.766667e+00,5.993300e+01,5.993671e+01,5.993836e+01,5.993989e+01
6.800000e+00,5.993318e+01,5.993678e+01,5.993839e+01,5.993989e+01
6.833333e+00,5.993335e+01,5.993684e+01,5.993842e+01,5.993990e+01
6.866667e+00,5.993352e+01,5.993690e+01,5.993845e+01,5.993990e+01
6.900000e+00,5.993369e+01,5.993696e+01,5.993847e+01,5.993991e+01
6.933333e+00,5.993385e+01,5.993702e+01,5.993850e+01,5.993991e+01
6.966667e+00,5.993402e+01,5.993707e+01,5.993853e+01,5.993992e+01
7.000000e+00,5.993418e+01,5.993713e+01,5.993855e+01,5.993992e+01
7.033333e+00,5.993434e+01,5.993718e+01,5.993858e+01,5.993993e+01
7.066667e+00,5.993450e+01,5.993724e+01,5.993860e+01,5.993993e+01
7.100000e+00,5.993466e+01,5.993729e+01,5.993863e+01,5.993994e+01
7.133333e+00,5.993481e+01,5.993734e+01,5.993866e+01,5.993994e+01
