re_reec,im_reec,re_gfma,im_gfma
-4.730460e+00,1.263363e+01,-3.049689e+00,3.424217e-02
-3.571741e+00,1.642121e+01,-4.243753e-01,3.349404e+00
-2.015151e+00,1.836842e+01,-2.300587e+00,6.187740e+00
-4.744506e+01,6.283484e+00,-2.471504e+00,6.379694e+00
-4.749559e+01,6.437154e+00,-4.905496e+00,1.226227e+01
-4.823068e+01,7.843907e+00,-4.730507e+00,1.262130e+01
-4.851774e+01,8.611424e+00,-4.258050e+00,1.600840e+01
-9.640861e+01,2.022866e-01,-2.262947e+00,1.813140e+01
-1.036912e+02,2.227789e-01,-1.791112e+01,2.151162e+01
-5.541296e-01,4.084181e-01,-4.743905e+01,6.286086e+00
-3.049226e+00,2.545438e-02,-4.749521e+01,6.437116e+00
-4.129391e-01,3.375758e+00,-4.815517e+01,7.761501e+00
-2.303261e+00,6.190620e+00,-4.847536e+01,8.573392e+00
-2.484290e+00,6.425460e+00,-1.631347e+01,5.349795e+01
-4.788699e+00,1.235951e+01,-9.627933e+01,2.781381e-01
-4.730611e+00,1.263220e+01,-1.038275e+02,2.974343e-01
-3.586388e+00,1.644432e+01,-2.057027e+02,3.243560e+01
-2.024295e+00,1.838349e+01,-5.879305e-01,3.760438e-01
-4.744205e+01,6.272181e+00,-3.048706e+00,3.153344e-02
-4.749541e+01,6.436697e+00,-4.274215e-01,3.353485e+00
-4.823076e+01,7.835790e+00,-2.302094e+00,6.188508e+00
-4.851737e+01,8.608659e+00,-2.486385e+00,6.391916e+00
-9.641843e+01,1.895789e-01,-4.919511e+00,1.222662e+01
-1.036813e+02,2.108385e-01,-4.729689e+00,1.262034e+01
-5.545064e-01,4.067468e-01,-4.300081e+00,1.595813e+01
-3.048494e+00,2.446973e-02,-2.271869e+00,1.811578e+01
-4.146684e-01,3.380616e+00,-1.766967e+01,2.236021e+01
-2.304411e+00,6.191207e+00,-4.743526e+01,6.274454e+00
-2.498562e+00,6.440882e+00,-4.749503e+01,6.436634e+00
-4.799548e+00,1.234562e+01,-4.815244e+01,7.750572e+00
-4.730721e+00,1.263086e+01,-4.847434e+01,8.570231e+00
-3.601885e+00,1.646787e+01,-1.659982e+01,5.260939e+01
-2.034401e+00,1.839858e+01,-9.627464e+01,2.785442e-01
-4.743898e+01,6.260590e+00,-1.038329e+02,2.978657e-01
-4.749525e+01,6.436292e+00,-2.058846e+02,3.294163e+01
-4.823077e+01,7.827787e+00,-5.921623e-01,3.725857e-01
-4.851698e+01,8.606021e+00,-3.047724e+00,2.861495e-02
-9.642833e+01,1.752862e-01,-4.304287e-01,3.357551e+00
-1.036713e+02,1.975683e-01,-2.303417e+00,6.189214e+00
-5.550425e-01,4.050616e-01,-2.501778e+00,6.404438e+00
-3.047727e+00,2.306557e-02,-4.932282e+00,1.219038e+01
-4.163695e-01,3.385438e+00,-4.728987e+00,1.261955e+01
-2.305434e+00,6.191719e+00,-4.334113e+00,1.590929e+01
-2.513438e+00,6.456777e+00,-2.278564e+00,1.810156e+01
-4.811296e+00,1.233131e+01,-1.744690e+01,2.313980e+01
-4.730793e+00,1.262961e+01,-4.743141e+01,6.262684e+00
-3.618266e+00,1.649188e+01,-4.749487e+01,6.436215e+00
-2.045509e+00,1.841362e+01,-4.814997e+01,7.740508e+00
-4.743582e+01,6.248713e+00,-4.847348e+01,8.567467e+00
-4.749510e+01,6.435932e+00,-1.687649e+01,5.175123e+01
-4.823070e+01,7.819896e+00,-9.626981e+01,2.790071e-01
-4.851656e+01,8.603504e+00,-1.038383e+02,2.983314e-01
-9.643832e+01,1.589677e-01,-2.060554e+02,3.341024e+01
-1.036613e+02,1.826653e-01,-5.965018e-01,3.689712e-01
-5.556784e-01,4.033865e-01,-3.046744e+00,2.539638e-02
-3.047034e+00,2.170875e-02,-4.334064e-01,3.361608e+00
-4.180351e-01,3.390253e+00,-2.304583e+00,6.189866e+00
-2.306351e+00,6.192215e+00,-2.517676e+00,6.417277e+00
-2.528906e+00,6.473115e+00,-4.943977e+00,1.215363e+01
-4.823996e+00,1.231652e+01,-4.728381e+00,1.261889e+01
-4.730830e+00,1.262843e+01,-4.361455e+00,1.586273e+01
-3.635567e+00,1.651635e+01,-2.283555e+00,1.808872e+01
-2.057657e+00,1.842856e+01,-1.723967e+01,2.385901e+01
-4.743259e+01,6.236548e+00,-4.742750e+01,6.250764e+00
-4.749497e+01,6.435610e+00,-4.749473e+01,6.435848e+00
-4.823055e+01,7.812118e+00,-4.814771e+01,7.731187e+00
-4.851613e+01,8.601102e+00,-4.847275e+01,8.565033e+00
-9.644839e+01,1.398805e-01,-1.714482e+01,5.092082e+01
-1.036511e+02,1.656577e-01,-9.626487e+01,2.795003e-01
-5.564104e-01,4.017170e-01,-1.038438e+02,2.988063e-01
-3.046362e+00,2.018187e-02,-2.062162e+02,3.384564e+01
-4.196722e-01,3.395059e+00,-6.009472e-01,3.651968e-01
-2.307174e+00,6.192673e+00,-3.045765e+00,2.172884e-02
-2.544963e+00,6.489921e+00,-4.363625e-01,3.365658e+00
-4.837701e+00,1.230121e+01,-2.305616e+00,6.190467e+00
-4.730834e+00,1.262733e+01,-2.534078e+00,6.430445e+00
-3.653829e+00,1.654131e+01,-4.954741e+00,1.211643e+01
-2.070882e+00,1.844331e+01,-4.727856e+00,1.261832e+01
-4.742929e+01,6.224093e+00,-4.383313e+00,1.581890e+01
-4.749484e+01,6.435321e+00,-2.287245e+00,1.807717e+01
-4.823033e+01,7.804449e+00,-1.704512e+01,2.452506e+01
-4.851568e+01,8.598809e+00,-4.742353e+01,6.238682e+00
-9.645855e+01,1.166504e-01,-4.749460e+01,6.435524e+00
-1.036409e+02,1.457906e-01,-4.814562e+01,7.722508e+00
-5.572226e-01,4.000539e-01,-4.847211e+01,8.562874e+00
-3.045709e+00,1.846740e-02,-1.740605e+01,5.011593e+01
-4.212833e-01,3.399861e+00,-9.625983e+01,2.800018e-01
-2.307915e+00,6.193097e+00,-1.038494e+02,2.992700e-01
-2.561606e+00,6.507208e+00,-2.063677e+02,3.425139e+01
-4.852467e+00,1.228530e+01,-6.054980e-01,3.612574e-01
-4.730808e+00,1.262629e+01,-3.044789e+00,1.731428e-02
-3.673098e+00,1.656678e+01,-4.393033e-01,3.369706e+00
-2.085219e+00,1.845782e+01,-2.306536e+00,6.191023e+00
-4.742590e+01,6.211343e+00,-2.550986e+00,6.443959e+00
-4.749473e+01,6.435061e+00,-4.964695e+00,1.207878e+01
-4.823004e+01,7.796888e+00,-4.727397e+00,1.261783e+01
-4.851522e+01,8.596619e+00,-4.400742e+00,1.577800e+01
-9.646881e+01,8.593965e-02,-2.289942e+00,1.806680e+01
-1.036305e+02,1.216388e-01,-1.686073e+01,2.514406e+01
-5.581026e-01,3.983970e-01,-4.741949e+01,6.226426e+00
-3.045076e+00,1.652833e-02,-4.749449e+01,6.435236e+00
-4.228708e-01,3.404663e+00,-4.814365e+01,7.714387e+00
-2.308584e+00,6.193491e+00,-4.847156e+01,8.560949e+00
-2.578835e+00,6.524992e+00,-1.766134e+01,4.933468e+01
-4.868353e+00,1.226875e+01,-9.625472e+01,2.804939e-01
-4.730755e+00,1.262531e+01,-1.038551e+02,2.997061e-01
-3.693428e+00,1.659278e+01,-2.065108e+02,3.463055e+01
-2.100701e+00,1.847198e+01,-6.101550e-01,3.571465e-01
-4.742244e+01,6.198293e+00,-3.043815e+00,1.129132e-02
-4.749463e+01,6.434826e+00,-4.422340e-01,3.373754e+00
-4.822967e+01,7.789435e+00,-2.307359e+00,6.191537e+00
-4.851475e+01,8.594526e+00,-2.568407e+00,6.457830e+00
-9.647916e+01,2.989591e-02,-4.973942e+00,1.204070e+01
-1.036201e+02,8.976341e-02,-4.726994e+00,1.261740e+01
-5.590407e-01,3.967450e-01,-4.414626e+00,1.574004e+01
-3.044461e+00,1.429305e-02,-2.291881e+00,1.805751e+01
-4.244371e-01,3.409469e+00,-1.668423e+01,2.572120e+01
-2.309189e+00,6.193858e+00,-4.741537e+01,6.213986e+00
-2.596653e+00,6.543291e+00,-4.749438e+01,6.434978e+00
-4.885421e+00,1.225147e+01,-4.814180e+01,7.706757e+00
-4.730676e+00,1.262440e+01,-4.847107e+01,8.559224e+00
-3.714879e+00,1.661936e+01,-1.791180e+01,4.857545e+01
-2.117355e+00,1.848572e+01,-9.624955e+01,2.809621e-01
-4.741890e+01,6.184938e+00,-1.038608e+02,3.001015e-01
-4.749454e+01,6.434613e+00,-2.066462e+02,3.498576e+01
-4.822924e+01,7.782087e+00,-6.149198e-01,3.528557e-01
-4.851427e+01,8.592528e+00,-4.451591e-01,3.377802e+00
-1.036096e+02,3.210258e-02,-2.308097e+00,6.192014e+00
-5.600290e-01,3.950966e-01,-2.586349e+00,6.472075e+00
-3.043866e+00,1.161124e-02,-4.982564e+00,1.200215e+01
-4.259842e-01,3.414284e+00,-4.726637e+00,1.261703e+01
-2.309739e+00,6.194199e+00,-4.425690e+00,1.570493e+01
-2.615065e+00,6.562129e+00,-2.293238e+00,1.804917e+01
-4.903738e+00,1.223339e+01,-1.651362e+01,2.626087e+01
-4.730573e+00,1.262354e+01,-4.741119e+01,6.201351e+00
-3.737520e+00,1.664654e+01,-4.749429e+01,6.434747e+00
-2.135205e+00,1.849893e+01,-4.814002e+01,7.699559e+00
-4.741527e+01,6.171271e+00,-4.847064e+01,8.557671e+00
-4.749446e+01,6.434420e+00,-1.815854e+01,4.783688e+01
