t,c1,c2,c3,c4
8.533333e+00,1.909502e+00,1.819331e+00,1.920192e+00,1.888021e+00
8.566667e+00,1.916808e+00,1.831516e+00,1.919595e+00,1.889465e+00
8.600000e+00,1.924286e+00,1.844612e+00,1.919049e+00,1.891139e+00
8.633333e+00,1.931822e+00,1.858410e+00,1.918575e+00,1.893037e+00
8.666667e+00,1.939297e+00,1.872650e+00,1.918192e+00,1.895134e+00
8.700000e+00,1.946598e+00,1.887090e+00,1.917917e+00,1.897414e+00
8.733333e+00,1.953599e+00,1.901478e+00,1.917769e+00,1.899858e+00
8.766667e+00,1.960196e+00,1.915564e+00,1.917759e+00,1.902432e+00
8.800000e+00,1.966282e+00,1.929108e+00,1.917892e+00,1.905104e+00
8.833333e+00,1.971733e+00,1.941845e+00,1.918177e+00,1.907836e+00
8.866667e+00,1.976471e+00,1.953572e+00,1.918607e+00,1.910580e+00
8.900000e+00,1.980407e+00,1.964082e+00,1.919173e+00,1.913287e+00
8.933333e+00,1.983436e+00,1.973137e+00,1.919866e+00,1.915898e+00
8.966667e+00,1.985517e+00,1.980609e+00,1.920664e+00,1.918357e+00
9.000000e+00,1.986599e+00,1.986357e+00,1.921545e+00,1.920607e+00
9.033333e+00,1.986614e+00,1.990210e+00,1.922486e+00,1.922581e+00
9.066667e+00,1.985576e+00,1.992139e+00,1.923459e+00,1.924232e+00
9.100000e+00,1.983485e+00,1.992098e+00,1.924437e+00,1.925512e+00
9.133333e+00,1.980330e+00,1.990011e+00,1.925392e+00,1.926367e+00
9.166667e+00,1.976184e+00,1.985964e+00,1.926300e+00,1.926778e+00
9.200000e+00,1.971108e+00,1.980015e+00,1.927138e+00,1.926726e+00
9.233333e+00,1.965156e+00,1.972207e+00,1.927887e+00,1.926190e+00
9.266667e+00,1.958457e+00,1.962729e+00,1.928533e+00,1.925191e+00
9.300000e+00,1.951124e+00,1.951742e+00,1.929067e+00,1.923748e+00
9.333333e+00,1.943276e+00,1.939403e+00,1.929479e+00,1.921882e+00
9.366667e+00,1.935074e+00,1.925975e+00,1.929772e+00,1.919651e+00
9.400000e+00,1.926671e+00,1.911696e+00,1.929947e+00,1.917107e+00
9.433333e+00,1.918226e+00,1.896812e+00,1.930008e+00,1.914306e+00
9.466667e+00,1.909906e+00,1.881617e+00,1.929964e+00,1.911325e+00
9.500000e+00,1.901870e+00,1.866384e+00,1.929826e+00,1.908233e+00
9.533333e+00,1.894290e+00,1.851405e+00,1.929602e+00,1.905102e+00
9.566667e+00,1.887304e+00,1.836952e+00,1.929304e+00,1.902003e+00
9.600000e+00,1.881047e+00,1.823285e+00,1.928941e+00,1.899000e+00
9.633333e+00,1.875669e+00,1.810689e+00,1.928520e+00,1.896159e+00
9.666667e+00,1.871248e+00,1.799368e+00,1.928050e+00,1.893526e+00
9.700000e+00,1.867870e+00,1.789522e+00,1.927535e+00,1.891144e+00
9.733333e+00,1.865630e+00,1.781384e+00,1.926978e+00,1.889055e+00
9.766667e+00,1.864536e+00,1.775050e+00,1.926384e+00,1.887278e+00
9.800000e+00,1.864604e+00,1.770631e+00,1.925753e+00,1.885826e+00
9.833333e+00,1.865864e+00,1.768267e+00,1.925088e+00,1.884719e+00
9.866667e+00,1.868250e+00,1.767939e+00,1.924391e+00,1.883949e+00
9.900000e+00,1.871713e+00,1.769651e+00,1.923667e+00,1.883512e+00
9.933333e+00,1.876214e+00,1.773431e+00,1.922922e+00,1.883409e+00
9.966667e+00,1.881633e+00,1.779152e+00,1.922163e+00,1.883620e+00
1.000000e+01,1.887867e+00,1.786714e+00,1.921403e+00,1.884135e+00
