t,lc1,lc2,lc3,lc4,c1,c2,c3,c4
3.300000e+00,3.746605e-05,9.317125e-05,6.772968e-05,9.736778e-05,4.123839e-05,9.668307e-05,7.172785e-05,1.016446e-04
3.333333e+00,6.255514e-05,6.751152e-05,6.797287e-05,9.848208e-05,6.612795e-05,7.122037e-05,7.204178e-05,1.027169e-04
3.366667e+00,8.784402e-05,4.179683e-05,6.896006e-05,9.834752e-05,9.120336e-05,4.572105e-05,7.309464e-05,1.025380e-04
3.400000e+00,1.118253e-04,1.771316e-05,7.061840e-05,9.693098e-05,1.150091e-04,2.181393e-05,7.481261e-05,1.010801e-04
3.433333e+00,1.330771e-04,-3.153084e-06,7.282441e-05,9.427498e-05,1.360544e-04,1.169716e-06,7.708532e-05,9.835291e-05
3.466667e+00,1.503519e-04,-1.941511e-05,7.541183e-05,9.049723e-05,1.531865e-04,-1.493128e-05,7.972685e-05,9.451665e-05
3.500000e+00,1.626540e-04,-2.997315e-05,7.818233e-05,8.578547e-05,1.654497e-04,-2.542653e-05,8.254118e-05,8.975868e-05
3.533333e+00,1.693016e-04,-3.408397e-05,8.091850e-05,8.038756e-05,1.720075e-04,-2.938577e-05,8.530694e-05,8.431079e-05
3.566667e+00,1.699687e-04,-3.140804e-05,8.339840e-05,7.459769e-05,1.727134e-04,-2.666524e-05,8.780176e-05,7.849098e-05
3.600000e+00,1.647050e-04,-2.203128e-05,8.541059e-05,6.873929e-05,1.676232e-04,-1.734892e-05,8.981891e-05,7.261641e-05
3.633333e+00,1.539323e-04,-6.460192e-06,8.676892e-05,6.314581e-05,1.569966e-04,-1.756058e-06,9.115210e-05,6.703027e-05
3.666667e+00,1.384168e-04,1.440937e-05,8.732592e-05,5.814051e-05,1.417578e-04,1.903715e-05,9.167511e-05,6.204731e-05
3.700000e+00,1.192212e-04,3.934798e-05,8.698402e-05,5.401656e-05,1.229278e-04,4.384085e-05,9.129494e-05,5.795169e-05
3.733333e+00,9.763661e-05,6.686928e-05,8.570384e-05,5.101872e-05,1.017071e-04,7.125480e-05,8.994661e-05,5.502018e-05
3.766667e+00,7.510142e-05,9.532280e-05,8.350890e-05,4.932782e-05,7.957878e-05,9.956256e-05,8.768582e-05,5.339603e-05
3.800000e+00,5.311029e-05,1.229971e-04,8.048641e-05,4.904909e-05,5.797027e-05,1.271103e-04,8.460150e-05,5.317785e-05
3.833333e+00,3.311996e-05,1.482266e-04,7.678397e-05,5.020507e-05,3.836961e-05,1.521725e-04,8.082528e-05,5.442701e-05
3.866667e+00,1.645730e-05,1.694960e-04,7.260242e-05,5.273370e-05,2.201997e-05,1.733207e-04,7.658285e-05,5.703367e-05
3.900000e+00,4.235785e-06,1.855349e-04,6.818497e-05,5.649175e-05,9.986768e-06,1.893306e-04,7.211510e-05,6.085412e-05
