t,lc1,lc2,c3,c4
7.733333e+00,-3.151480e-03,-9.376823e-04,-3.391385e-03,-1.009677e-03
7.766667e+00,-3.192436e-03,-9.524407e-04,-3.433488e-03,-1.024485e-03
7.800000e+00,-3.234099e-03,-9.679614e-04,-3.475265e-03,-1.038864e-03
7.833333e+00,-3.276007e-03,-9.840209e-04,-3.520335e-03,-1.056618e-03
7.866667e+00,-3.317708e-03,-1.000393e-03,-3.564144e-03,-1.073490e-03
7.900000e+00,-3.358776e-03,-1.016854e-03,-3.606212e-03,-1.089215e-03
7.933333e+00,-3.398806e-03,-1.033186e-03,-3.650312e-03,-1.107719e-03
7.966667e+00,-3.437428e-03,-1.049184e-03,-3.691853e-03,-1.124634e-03
8.000000e+00,-3.474310e-03,-1.064656e-03,-3.730438e-03,-1.139714e-03
8.033333e+00,-3.509155e-03,-1.079429e-03,-3.770056e-03,-1.157066e-03
8.066667e+00,-3.541708e-03,-1.093347e-03,-3.806109e-03,-1.172223e-03
8.100000e+00,-3.571758e-03,-1.106276e-03,-3.838315e-03,-1.184992e-03
8.133333e+00,-3.599130e-03,-1.118105e-03,-3.870912e-03,-1.199692e-03
8.166667e+00,-3.623693e-03,-1.128743e-03,-3.899295e-03,-1.211765e-03
8.200000e+00,-3.645353e-03,-1.138122e-03,-3.923298e-03,-1.221074e-03
8.233333e+00,-3.664050e-03,-1.146191e-03,-3.947417e-03,-1.232173e-03
8.266667e+00,-3.679761e-03,-1.152921e-03,-3.967016e-03,-1.240394e-03
8.300000e+00,-3.692495e-03,-1.158300e-03,-3.982030e-03,-1.245654e-03
8.333333e+00,-3.702289e-03,-1.162330e-03,-3.997212e-03,-1.252744e-03
8.366667e+00,-3.709208e-03,-1.165029e-03,-4.007860e-03,-1.256861e-03
8.400000e+00,-3.713345e-03,-1.166426e-03,-4.013992e-03,-1.257967e-03
8.433333e+00,-3.714815e-03,-1.166560e-03,-4.020615e-03,-1.261081e-03
8.466667e+00,-3.713759e-03,-1.165483e-03,-4.022931e-03,-1.261246e-03
8.500000e+00,-3.710340e-03,-1.163251e-03,-4.021028e-03,-1.258453e-03
8.533333e+00,-3.704740e-03,-1.159931e-03,-4.020169e-03,-1.257947e-03
8.566667e+00,-3.697167e-03,-1.155596e-03,-4.015438e-03,-1.254601e-03
8.600000e+00,-3.687845e-03,-1.150326e-03,-4.006984e-03,-1.248428e-03
8.633333e+00,-3.677022e-03,-1.144208e-03,-4.000333e-03,-1.244898e-03
8.666667e+00,-3.664960e-03,-1.137337e-03,-3.990434e-03,-1.238706e-03
8.700000e+00,-3.651943e-03,-1.129813e-03,-3.977493e-03,-1.229887e-03
8.733333e+00,-3.638266e-03,-1.121744e-03,-3.967300e-03,-1.224136e-03
8.766667e+00,-3.624241e-03,-1.113245e-03,-3.954647e-03,-1.215970e-03
8.800000e+00,-3.610188e-03,-1.104438e-03,-3.939783e-03,-1.205449e-03
8.833333e+00,-3.596434e-03,-1.095452e-03,-3.928759e-03,-1.198489e-03
8.866667e+00,-3.583310e-03,-1.086420e-03,-3.916174e-03,-1.189431e-03
8.900000e+00,-3.571146e-03,-1.077481e-03,-3.902296e-03,-1.178354e-03
8.933333e+00,-3.560263e-03,-1.068777e-03,-3.893409e-03,-1.171392e-03
8.966667e+00,-3.550973e-03,-1.060452e-03,-3.883879e-03,-1.162699e-03
9.000000e+00,-3.543571e-03,-1.052649e-03,-3.873949e-03,-1.152363e-03
9.033333e+00,-3.538329e-03,-1.045508e-03,-3.870098e-03,-1.146721e-03
9.066667e+00,-3.535492e-03,-1.039166e-03,-3.866407e-03,-1.139723e-03
9.100000e+00,-3.535273e-03,-1.033749e-03,-3.863054e-03,-1.131449e-03
9.133333e+00,-3.537850e-03,-1.029375e-03,-3.866656e-03,-1.128412e-03
9.166667e+00,-3.543358e-03,-1.026148e-03,-3.870971e-03,-1.124341e-03
9.200000e+00,-3.551890e-03,-1.024158e-03,-3.876066e-03,-1.119281e-03
9.233333e+00,-3.563495e-03,-1.023475e-03,-3.888656e-03,-1.119896e-03
9.266667e+00,-3.578173e-03,-1.024152e-03,-3.902147e-03,-1.119673e-03
9.300000e+00,-3.595878e-03,-1.026219e-03,-3.916473e-03,-1.118600e-03
9.333333e+00,-3.616517e-03,-1.029685e-03,-3.938418e-03,-1.123476e-03
