f,real,imag
5.505284e-01,3.585952e-02,-2.501977e+00
5.524658e-01,3.308099e-02,-2.494941e+00
5.544031e-01,3.031057e-02,-2.487946e+00
5.563405e-01,2.754826e-02,-2.480991e+00
5.582779e-01,2.479401e-02,-2.474075e+00
5.602153e-01,2.204782e-02,-2.467199e+00
5.621526e-01,1.930967e-02,-2.460361e+00
5.640900e-01,1.657953e-02,-2.453561e+00
5.660274e-01,1.385739e-02,-2.446799e+00
5.679648e-01,1.114325e-02,-2.440073e+00
5.699022e-01,8.437083e-03,-2.433385e+00
5.718395e-01,5.738883e-03,-2.426732e+00
5.737769e-01,3.048640e-03,-2.420115e+00
5.757143e-01,3.663474e-04,-2.413533e+00
5.776517e-01,-2.308003e-03,-2.406986e+00
5.795890e-01,-4.974416e-03,-2.400473e+00
5.815264e-01,-7.632897e-03,-2.393994e+00
5.834638e-01,-1.028345e-02,-2.387548e+00
5.854012e-01,-1.292608e-02,-2.381135e+00
5.873386e-01,-1.556078e-02,-2.374755e+00
5.892759e-01,-1.818755e-02,-2.368407e+00
5.912133e-01,-2.080641e-02,-2.362090e+00
5.931507e-01,-2.341733e-02,-2.355805e+00
5.950881e-01,-2.602033e-02,-2.349551e+00
5.970254e-01,-2.861540e-02,-2.343327e+00
5.989628e-01,-3.120254e-02,-2.337134e+00
6.009002e-01,-3.378173e-02,-2.330970e+00
6.028376e-01,-3.635299e-02,-2.324836e+00
6.047750e-01,-3.891630e-02,-2.318730e+00
6.067123e-01,-4.147165e-02,-2.312654e+00
6.086497e-01,-4.401905e-02,-2.306606e+00
6.105871e-01,-4.655848e-02,-2.300586e+00
6.125245e-01,-4.908994e-02,-2.294593e+00
6.144618e-01,-5.161341e-02,-2.288628e+00
6.163992e-01,-5.412890e-02,-2.282690e+00
6.183366e-01,-5.663638e-02,-2.276778e+00
6.202740e-01,-5.913587e-02,-2.270893e+00
6.222114e-01,-6.162733e-02,-2.265035e+00
6.241487e-01,-6.411077e-02,-2.259201e+00
6.260861e-01,-6.658617e-02,-2.253394e+00
6.280235e-01,-6.905353e-02,-2.247611e+00
6.299609e-01,-7.151284e-02,-2.241854e+00
6.318982e-01,-7.396407e-02,-2.236121e+00
6.338356e-01,-7.640723e-02,-2.230412e+00
6.357730e-01,-7.884231e-02,-2.224728e+00
6.377104e-01,-8.126929e-02,-2.219067e+00
6.396477e-01,-8.368815e-02,-2.213430e+00
6.415851e-01,-8.609890e-02,-2.207816e+00
6.435225e-01,-8.850152e-02,-2.202225e+00
6.454599e-01,-9.089599e-02,-2.196657e+00
6.473973e-01,-9.328231e-02,-2.191112e+00
6.493346e-01,-9.566047e-02,-2.185588e+00
6.512720e-01,-9.803045e-02,-2.180087e+00
6.532094e-01,-1.003922e-01,-2.174608e+00
6.551468e-01,-1.027458e-01,-2.169150e+00
