w,mag,ang,re,im
-1.944883e+04,5.141698e-05,8.999853e+01,1.321853e-09,5.141698e-05
-1.910176e+04,5.235120e-05,8.999850e+01,1.370324e-09,5.235120e-05
-1.876088e+04,5.330241e-05,8.999847e+01,1.420573e-09,5.330241e-05
-1.842608e+04,5.427089e-05,8.999845e+01,1.472665e-09,5.427089e-05
-1.809726e+04,5.525697e-05,8.999842e+01,1.526667e-09,5.525697e-05
-1.777431e+04,5.626097e-05,8.999839e+01,1.582648e-09,5.626097e-05
-1.745712e+04,5.728321e-05,8.999836e+01,1.640683e-09,5.728321e-05
-1.714559e+04,5.832403e-05,8.999833e+01,1.700846e-09,5.832403e-05
-1.683962e+04,5.938375e-05,8.999830e+01,1.763215e-09,5.938375e-05
-1.653911e+04,6.046273e-05,8.999827e+01,1.827871e-09,6.046273e-05
-1.624397e+04,6.156132e-05,8.999824e+01,1.894898e-09,6.156132e-05
-1.595409e+04,6.267986e-05,8.999820e+01,1.964383e-09,6.267986e-05
-1.566938e+04,6.381873e-05,8.999817e+01,2.036415e-09,6.381873e-05
-1.538975e+04,6.497829e-05,8.999814e+01,2.111090e-09,6.497829e-05
-1.511512e+04,6.615893e-05,8.999810e+01,2.188502e-09,6.615893e-05
-1.484538e+04,6.736101e-05,8.999807e+01,2.268753e-09,6.736101e-05
-1.458046e+04,6.858493e-05,8.999804e+01,2.351947e-09,6.858493e-05
-1.432027e+04,6.983110e-05,8.999800e+01,2.438191e-09,6.983110e-05
-1.406472e+04,7.109990e-05,8.999796e+01,2.527598e-09,7.109990e-05
-1.381373e+04,7.239176e-05,8.999793e+01,2.620284e-09,7.239176e-05
-1.356722e+04,7.370709e-05,8.999789e+01,2.716368e-09,7.370709e-05
-1.332510e+04,7.504632e-05,8.999785e+01,2.815975e-09,7.504632e-05
-1.308731e+04,7.640988e-05,8.999781e+01,2.919235e-09,7.640988e-05
-1.285376e+04,7.779822e-05,8.999777e+01,3.026282e-09,7.779822e-05
-1.262438e+04,7.921179e-05,8.999773e+01,3.137254e-09,7.921179e-05
-1.239910e+04,8.065103e-05,8.999769e+01,3.252295e-09,8.065103e-05
-1.217783e+04,8.211643e-05,8.999765e+01,3.371555e-09,8.211643e-05
-1.196051e+04,8.360846e-05,8.999760e+01,3.495188e-09,8.360846e-05
-1.174707e+04,8.512759e-05,8.999756e+01,3.623354e-09,8.512759e-05
-1.153744e+04,8.667433e-05,8.999752e+01,3.756220e-09,8.667433e-05
-1.133155e+04,8.824917e-05,8.999747e+01,3.893959e-09,8.824917e-05
-1.112933e+04,8.985262e-05,8.999743e+01,4.036748e-09,8.985262e-05
-1.093073e+04,9.148521e-05,8.999738e+01,4.184773e-09,9.148521e-05
-1.073566e+04,9.314746e-05,8.999733e+01,4.338226e-09,9.314746e-05
-1.054408e+04,9.483992e-05,8.999728e+01,4.497306e-09,9.483992e-05
-1.035592e+04,9.656312e-05,8.999723e+01,4.662219e-09,9.656312e-05
-1.017111e+04,9.831764e-05,8.999718e+01,4.833180e-09,9.831764e-05
-9.989607e+03,1.001040e-04,8.999713e+01,5.010410e-09,1.001040e-04
-9.811338e+03,1.019229e-04,8.999708e+01,5.194138e-09,1.019229e-04
-9.636251e+03,1.037748e-04,8.999703e+01,5.384604e-09,1.037748e-04
-9.464289e+03,1.056603e-04,8.999697e+01,5.582054e-09,1.056603e-04
-9.295395e+03,1.075801e-04,8.999692e+01,5.786745e-09,1.075801e-04
-9.129515e+03,1.095348e-04,8.999686e+01,5.998941e-09,1.095348e-04
-8.966595e+03,1.115250e-04,8.999681e+01,6.218919e-09,1.115250e-04
-8.806583e+03,1.135514e-04,8.999675e+01,6.446963e-09,1.135514e-04
-8.649426e+03,1.156146e-04,8.999669e+01,6.683369e-09,1.156146e-04
-8.495074e+03,1.177153e-04,8.999663e+01,6.928444e-09,1.177153e-04
-8.343476e+03,1.198541e-04,8.999657e+01,7.182506e-09,1.198541e-04
-8.194584e+03,1.220318e-04,8.999650e+01,7.445884e-09,1.220318e-04
-8.048348e+03,1.242491e-04,8.999644e+01,7.718920e-09,1.242491e-04
-7.904722e+03,1.265066e-04,8.999638e+01,8.001968e-09,1.265066e-04
-7.763659e+03,1.288052e-04,8.999631e+01,8.295395e-09,1.288052e-04
-7.625114e+03,1.311456e-04,8.999624e+01,8.599582e-09,1.311456e-04
-7.489041e+03,1.335284e-04,8.999617e+01,8.914924e-09,1.335284e-04
-7.355396e+03,1.359546e-04,8.999611e+01,9.241829e-09,1.359546e-04
-7.224136e+03,1.384248e-04,8.999603e+01,9.580721e-09,1.384248e-04
-7.095219e+03,1.409400e-04,8.999596e+01,9.932040e-09,1.409400e-04
-6.968602e+03,1.435008e-04,8.999589e+01,1.029624e-08,1.435008e-04
-6.844245e+03,1.461081e-04,8.999581e+01,1.067380e-08,1.461081e-04
-6.722106e+03,1.487629e-04,8.999574e+01,1.106520e-08,1.487629e-04
-6.602148e+03,1.514658e-04,8.999566e+01,1.147095e-08,1.514658e-04
-6.484330e+03,1.542179e-04,8.999558e+01,1.189159e-08,1.542179e-04
-6.368615e+03,1.570200e-04,8.999550e+01,1.232764e-08,1.570200e-04
-6.254964e+03,1.598730e-04,8.999542e+01,1.277969e-08,1.598730e-04
-6.143342e+03,1.627778e-04,8.999534e+01,1.324832e-08,1.627778e-04
-6.033712e+03,1.657354e-04,8.999525e+01,1.373412e-08,1.657354e-04
-5.926038e+03,1.687468e-04,8.999517e+01,1.423775e-08,1.687468e-04
-5.820285e+03,1.718128e-04,8.999508e+01,1.475983e-08,1.718128e-04
-5.716420e+03,1.749346e-04,8.999499e+01,1.530107e-08,1.749346e-04
-5.614409e+03,1.781131e-04,8.999490e+01,1.586215e-08,1.781131e-04
-5.514217e+03,1.813494e-04,8.999480e+01,1.644381e-08,1.813494e-04
-5.415814e+03,1.846444e-04,8.999471e+01,1.704679e-08,1.846444e-04
-5.319167e+03,1.879993e-04,8.999461e+01,1.767188e-08,1.879993e-04
-5.224244e+03,1.914152e-04,8.999452e+01,1.831990e-08,1.914152e-04
-5.131016e+03,1.948931e-04,8.999442e+01,1.899168e-08,1.948931e-04
-5.039451e+03,1.984343e-04,8.999432e+01,1.968810e-08,1.984343e-04
-4.949520e+03,2.020397e-04,8.999421e+01,2.041005e-08,2.020397e-04
-4.861194e+03,2.057107e-04,8.999411e+01,2.115847e-08,2.057107e-04
-4.774444e+03,2.094484e-04,8.999400e+01,2.193434e-08,2.094484e-04
-4.689242e+03,2.132540e-04,8.999389e+01,2.273866e-08,2.132540e-04
-4.605561e+03,2.171287e-04,8.999378e+01,2.357247e-08,2.171287e-04
-4.523373e+03,2.210739e-04,8.999367e+01,2.443686e-08,2.210739e-04
