f,Ts,Td
2.560000e+00,5.953224e-01,-1.183081e-02
2.570000e+00,5.948087e-01,-1.161117e-02
2.580000e+00,5.943359e-01,-1.139455e-02
2.590000e+00,5.939031e-01,-1.118096e-02
2.600000e+00,5.935094e-01,-1.097036e-02
2.610000e+00,5.931538e-01,-1.076277e-02
2.620000e+00,5.928353e-01,-1.055815e-02
2.630000e+00,5.925530e-01,-1.035650e-02
2.640000e+00,5.923061e-01,-1.015781e-02
2.650000e+00,5.920935e-01,-9.962042e-03
2.660000e+00,5.919144e-01,-9.769194e-03
2.670000e+00,5.917679e-01,-9.579242e-03
2.680000e+00,5.916532e-01,-9.392164e-03
2.690000e+00,5.915693e-01,-9.207940e-03
2.700000e+00,5.915154e-01,-9.026546e-03
2.710000e+00,5.914906e-01,-8.847958e-03
2.720000e+00,5.914942e-01,-8.672152e-03
2.730000e+00,5.915254e-01,-8.499103e-03
2.740000e+00,5.915832e-01,-8.328784e-03
2.750000e+00,5.916670e-01,-8.161168e-03
2.760000e+00,5.917760e-01,-7.996228e-03
2.770000e+00,5.919093e-01,-7.833937e-03
2.780000e+00,5.920664e-01,-7.674265e-03
2.790000e+00,5.922463e-01,-7.517185e-03
2.800000e+00,5.924485e-01,-7.362666e-03
2.810000e+00,5.926722e-01,-7.210679e-03
2.820000e+00,5.929168e-01,-7.061194e-03
2.830000e+00,5.931814e-01,-6.914182e-03
2.840000e+00,5.934656e-01,-6.769611e-03
2.850000e+00,5.937687e-01,-6.627451e-03
2.860000e+00,5.940899e-01,-6.487671e-03
2.870000e+00,5.944288e-01,-6.350241e-03
2.880000e+00,5.947847e-01,-6.215129e-03
2.890000e+00,5.951569e-01,-6.082305e-03
2.900000e+00,5.955450e-01,-5.951736e-03
2.910000e+00,5.959484e-01,-5.823394e-03
2.920000e+00,5.963665e-01,-5.697245e-03
2.930000e+00,5.967988e-01,-5.573260e-03
2.940000e+00,5.972447e-01,-5.451408e-03
2.950000e+00,5.977038e-01,-5.331657e-03
2.960000e+00,5.981756e-01,-5.213978e-03
2.970000e+00,5.986595e-01,-5.098339e-03
2.980000e+00,5.991550e-01,-4.984710e-03
2.990000e+00,5.996619e-01,-4.873061e-03
3.000000e+00,6.001795e-01,-4.763362e-03
3.010000e+00,6.007074e-01,-4.655584e-03
3.020000e+00,6.012453e-01,-4.549696e-03
3.030000e+00,6.017926e-01,-4.445669e-03
3.040000e+00,6.023490e-01,-4.343475e-03
3.050000e+00,6.029142e-01,-4.243084e-03
3.060000e+00,6.034876e-01,-4.144467e-03
3.070000e+00,6.040690e-01,-4.047597e-03
3.080000e+00,6.046580e-01,-3.952445e-03
3.090000e+00,6.052542e-01,-3.858984e-03
3.100000e+00,6.058573e-01,-3.767186e-03
3.110000e+00,6.064670e-01,-3.677024e-03
3.120000e+00,6.070829e-01,-3.588470e-03
3.130000e+00,6.077047e-01,-3.501499e-03
3.140000e+00,6.083321e-01,-3.416085e-03
3.150000e+00,6.089648e-01,-3.332201e-03
3.160000e+00,6.096026e-01,-3.249821e-03
3.170000e+00,6.102451e-01,-3.168921e-03
3.180000e+00,6.108921e-01,-3.089475e-03
3.190000e+00,6.115433e-01,-3.011459e-03
3.200000e+00,6.121984e-01,-2.934848e-03
3.210000e+00,6.128573e-01,-2.859620e-03
3.220000e+00,6.135196e-01,-2.785749e-03
3.230000e+00,6.141852e-01,-2.713212e-03
3.240000e+00,6.148538e-01,-2.641987e-03
3.250000e+00,6.155252e-01,-2.572051e-03
3.260000e+00,6.161991e-01,-2.503382e-03
3.270000e+00,6.168755e-01,-2.435958e-03
3.280000e+00,6.175540e-01,-2.369756e-03
3.290000e+00,6.182345e-01,-2.304756e-03
3.300000e+00,6.189168e-01,-2.240937e-03
3.310000e+00,6.196007e-01,-2.178277e-03
3.320000e+00,6.202861e-01,-2.116758e-03
3.330000e+00,6.209728e-01,-2.056358e-03
3.340000e+00,6.216605e-01,-1.997057e-03
3.350000e+00,6.223492e-01,-1.938837e-03
3.360000e+00,6.230387e-01,-1.881679e-03
3.370000e+00,6.237289e-01,-1.825563e-03
3.380000e+00,6.244196e-01,-1.770470e-03
3.390000e+00,6.251106e-01,-1.716384e-03
3.400000e+00,6.258019e-01,-1.663286e-03
3.410000e+00,6.264933e-01,-1.611158e-03
3.420000e+00,6.271847e-01,-1.559983e-03
3.430000e+00,6.278760e-01,-1.509744e-03
3.440000e+00,6.285670e-01,-1.460424e-03
3.450000e+00,6.292576e-01,-1.412008e-03
3.460000e+00,6.299478e-01,-1.364478e-03
3.470000e+00,6.306374e-01,-1.317818e-03
3.480000e+00,6.313263e-01,-1.272015e-03
3.490000e+00,6.320144e-01,-1.227051e-03
3.500000e+00,6.327017e-01,-1.182911e-03
3.510000e+00,6.333880e-01,-1.139582e-03
3.520000e+00,6.340733e-01,-1.097049e-03
3.530000e+00,6.347575e-01,-1.055296e-03
3.540000e+00,6.354405e-01,-1.014311e-03
3.550000e+00,6.361222e-01,-9.740787e-04
3.560000e+00,6.368025e-01,-9.345864e-04
3.570000e+00,6.374814e-01,-8.958205e-04
3.580000e+00,6.381588e-01,-8.577681e-04
3.590000e+00,6.388346e-01,-8.204162e-04
3.600000e+00,6.395089e-01,-7.837521e-04
3.610000e+00,6.401814e-01,-7.477636e-04
3.620000e+00,6.408522e-01,-7.124385e-04
3.630000e+00,6.415212e-01,-6.777648e-04
3.640000e+00,6.421884e-01,-6.437307e-04
3.650000e+00,6.428536e-01,-6.103248e-04
3.660000e+00,6.435169e-01,-5.775358e-04
3.670000e+00,6.441782e-01,-5.453524e-04
3.680000e+00,6.448375e-01,-5.137639e-04
3.690000e+00,6.454947e-01,-4.827595e-04
3.700000e+00,6.461497e-01,-4.523287e-04
3.710000e+00,6.468026e-01,-4.224612e-04
3.720000e+00,6.474533e-01,-3.931469e-04
3.730000e+00,6.481017e-01,-3.643757e-04
3.740000e+00,6.487479e-01,-3.361379e-04
3.750000e+00,6.493918e-01,-3.084240e-04
3.760000e+00,6.500333e-01,-2.812246e-04
3.770000e+00,6.506725e-01,-2.545303e-04
3.780000e+00,6.513093e-01,-2.283321e-04
3.790000e+00,6.519437e-01,-2.026211e-04
3.800000e+00,6.525756e-01,-1.773886e-04
3.810000e+00,6.532051e-01,-1.526260e-04
3.820000e+00,6.538320e-01,-1.283249e-04
3.830000e+00,6.544565e-01,-1.044769e-04
3.840000e+00,6.550785e-01,-8.107406e-05
3.850000e+00,6.556979e-01,-5.810831e-05
3.860000e+00,6.563147e-01,-3.557187e-05
3.870000e+00,6.569290e-01,-1.345704e-05
3.880000e+00,6.575406e-01,8.243695e-06
3.890000e+00,6.581497e-01,2.953774e-05
3.900000e+00,6.587562e-01,5.043234e-05
3.910000e+00,6.593600e-01,7.093464e-05
3.920000e+00,6.599612e-01,9.105162e-05
3.930000e+00,6.605597e-01,1.107902e-04
3.940000e+00,6.611556e-01,1.301570e-04
3.950000e+00,6.617488e-01,1.491587e-04
3.960000e+00,6.623393e-01,1.678018e-04
3.970000e+00,6.629271e-01,1.860927e-04
3.980000e+00,6.635123e-01,2.040376e-04
3.990000e+00,6.640948e-01,2.216426e-04
4.000000e+00,6.646745e-01,2.389139e-04
4.010000e+00,6.652516e-01,2.558572e-04
4.020000e+00,6.658259e-01,2.724785e-04
4.030000e+00,6.663976e-01,2.887833e-04
4.040000e+00,6.669666e-01,3.047774e-04
4.050000e+00,6.675328e-01,3.204662e-04
4.060000e+00,6.680963e-01,3.358550e-04
4.070000e+00,6.686571e-01,3.509493e-04
4.080000e+00,6.692152e-01,3.657541e-04
4.090000e+00,6.697706e-01,3.802746e-04
4.100000e+00,6.703233e-01,3.945158e-04
4.110000e+00,6.708733e-01,4.084825e-04
4.120000e+00,6.714206e-01,4.221797e-04
4.130000e+00,6.719652e-01,4.356121e-04
4.140000e+00,6.725071e-01,4.487843e-04
4.150000e+00,6.730463e-01,4.617008e-04
4.160000e+00,6.735828e-01,4.743662e-04
4.170000e+00,6.741167e-01,4.867849e-04
4.180000e+00,6.746478e-01,4.989611e-04
4.190000e+00,6.751763e-01,5.108992e-04
4.200000e+00,6.757021e-01,5.226032e-04
4.210000e+00,6.762253e-01,5.340773e-04
4.220000e+00,6.767458e-01,5.453255e-04
4.230000e+00,6.772636e-01,5.563517e-04
4.240000e+00,6.777788e-01,5.671598e-04
4.250000e+00,6.782914e-01,5.777535e-04
4.260000e+00,6.788014e-01,5.881367e-04
4.270000e+00,6.793087e-01,5.983130e-04
4.280000e+00,6.798134e-01,6.082860e-04
4.290000e+00,6.803155e-01,6.180591e-04
4.300000e+00,6.808151e-01,6.276360e-04
4.310000e+00,6.813120e-01,6.370199e-04
4.320000e+00,6.818063e-01,6.462142e-04
4.330000e+00,6.822981e-01,6.552223e-04
