w,mag,ang,re,im
-2.543372e+01,1.367066e-03,1.567208e+02,-1.255773e-03,5.402806e-04
-2.531954e+01,1.378277e-03,1.565593e+02,-1.264530e-03,5.482792e-04
-2.520588e+01,1.389559e-03,1.563975e+02,-1.273316e-03,5.563653e-04
-2.509272e+01,1.400913e-03,1.562354e+02,-1.282128e-03,5.645393e-04
-2.498007e+01,1.412339e-03,1.560732e+02,-1.290968e-03,5.728017e-04
-2.486793e+01,1.423836e-03,1.559107e+02,-1.299835e-03,5.811530e-04
-2.475629e+01,1.435405e-03,1.557480e+02,-1.308727e-03,5.895938e-04
-2.464515e+01,1.447046e-03,1.555851e+02,-1.317646e-03,5.981244e-04
-2.453451e+01,1.458760e-03,1.554220e+02,-1.326590e-03,6.067455e-04
-2.442436e+01,1.470546e-03,1.552586e+02,-1.335559e-03,6.154574e-04
-2.431471e+01,1.482405e-03,1.550951e+02,-1.344554e-03,6.242607e-04
-2.420556e+01,1.494337e-03,1.549314e+02,-1.353572e-03,6.331558e-04
-2.409689e+01,1.506342e-03,1.547675e+02,-1.362615e-03,6.421432e-04
-2.398871e+01,1.518421e-03,1.546034e+02,-1.371681e-03,6.512234e-04
-2.388102e+01,1.530573e-03,1.544391e+02,-1.380771e-03,6.603968e-04
-2.377381e+01,1.542798e-03,1.542746e+02,-1.389883e-03,6.696640e-04
-2.366708e+01,1.555097e-03,1.541100e+02,-1.399018e-03,6.790253e-04
-2.356083e+01,1.567470e-03,1.539452e+02,-1.408175e-03,6.884812e-04
-2.345506e+01,1.579918e-03,1.537802e+02,-1.417354e-03,6.980321e-04
-2.334976e+01,1.592440e-03,1.536151e+02,-1.426554e-03,7.076786e-04
-2.324494e+01,1.605036e-03,1.534498e+02,-1.435774e-03,7.174210e-04
-2.314058e+01,1.617707e-03,1.532844e+02,-1.445015e-03,7.272598e-04
-2.303670e+01,1.630453e-03,1.531188e+02,-1.454276e-03,7.371953e-04
-2.293328e+01,1.643273e-03,1.529531e+02,-1.463556e-03,7.472281e-04
-2.283032e+01,1.656169e-03,1.527873e+02,-1.472856e-03,7.573585e-04
-2.272783e+01,1.669140e-03,1.526213e+02,-1.482174e-03,7.675870e-04
-2.262580e+01,1.682187e-03,1.524552e+02,-1.491510e-03,7.779140e-04
-2.252422e+01,1.695309e-03,1.522890e+02,-1.500865e-03,7.883399e-04
-2.242310e+01,1.708508e-03,1.521226e+02,-1.510236e-03,7.988650e-04
-2.232244e+01,1.721782e-03,1.519562e+02,-1.519624e-03,8.094898e-04
-2.222223e+01,1.735132e-03,1.517896e+02,-1.529029e-03,8.202146e-04
-2.212246e+01,1.748558e-03,1.516230e+02,-1.538450e-03,8.310399e-04
-2.202315e+01,1.762061e-03,1.514562e+02,-1.547886e-03,8.419660e-04
-2.192428e+01,1.775640e-03,1.512894e+02,-1.557337e-03,8.529934e-04
-2.182586e+01,1.789296e-03,1.511224e+02,-1.566803e-03,8.641223e-04
-2.172787e+01,1.803028e-03,1.509554e+02,-1.576283e-03,8.753531e-04
-2.163033e+01,1.816838e-03,1.507883e+02,-1.585777e-03,8.866862e-04
-2.153322e+01,1.830725e-03,1.506211e+02,-1.595283e-03,8.981220e-04
-2.143655e+01,1.844688e-03,1.504539e+02,-1.604803e-03,9.096608e-04
-2.134032e+01,1.858729e-03,1.502865e+02,-1.614335e-03,9.213028e-04
-2.124451e+01,1.872848e-03,1.501192e+02,-1.623878e-03,9.330486e-04
-2.114914e+01,1.887044e-03,1.499517e+02,-1.633433e-03,9.448983e-04
-2.105419e+01,1.901318e-03,1.497843e+02,-1.642998e-03,9.568524e-04
-2.095968e+01,1.915669e-03,1.496167e+02,-1.652574e-03,9.689111e-04
-2.086558e+01,1.930099e-03,1.494491e+02,-1.662159e-03,9.810748e-04
-2.077191e+01,1.944606e-03,1.492815e+02,-1.671754e-03,9.933437e-04
-2.067866e+01,1.959192e-03,1.491139e+02,-1.681358e-03,1.005718e-03
-2.058582e+01,1.973856e-03,1.489462e+02,-1.690970e-03,1.018198e-03
-2.049341e+01,1.988598e-03,1.487785e+02,-1.700590e-03,1.030785e-03
-2.040141e+01,2.003419e-03,1.486108e+02,-1.710217e-03,1.043478e-03
-2.030982e+01,2.018318e-03,1.484431e+02,-1.719851e-03,1.056277e-03
-2.021864e+01,2.033297e-03,1.482754e+02,-1.729491e-03,1.069184e-03
-2.012787e+01,2.048353e-03,1.481076e+02,-1.739138e-03,1.082198e-03
-2.003751e+01,2.063489e-03,1.479399e+02,-1.748789e-03,1.095319e-03
-1.994756e+01,2.078704e-03,1.477721e+02,-1.758446e-03,1.108548e-03
-1.985800e+01,2.093998e-03,1.476044e+02,-1.768107e-03,1.121885e-03
-1.976886e+01,2.109370e-03,1.474367e+02,-1.777771e-03,1.135330e-03
-1.968011e+01,2.124823e-03,1.472690e+02,-1.787439e-03,1.148883e-03
-1.959176e+01,2.140354e-03,1.471013e+02,-1.797110e-03,1.162545e-03
-1.950380e+01,2.155965e-03,1.469336e+02,-1.806783e-03,1.176316e-03
-1.941624e+01,2.171656e-03,1.467660e+02,-1.816458e-03,1.190197e-03
-1.932908e+01,2.187426e-03,1.465984e+02,-1.826134e-03,1.204186e-03
-1.924230e+01,2.203275e-03,1.464309e+02,-1.835811e-03,1.218285e-03
-1.915592e+01,2.219205e-03,1.462634e+02,-1.845489e-03,1.232494e-03
-1.906992e+01,2.235214e-03,1.460959e+02,-1.855166e-03,1.246812e-03
-1.898431e+01,2.251303e-03,1.459285e+02,-1.864842e-03,1.261240e-03
-1.889908e+01,2.267472e-03,1.457612e+02,-1.874518e-03,1.275779e-03
-1.881424e+01,2.283721e-03,1.455939e+02,-1.884191e-03,1.290428e-03
-1.872978e+01,2.300050e-03,1.454267e+02,-1.893862e-03,1.305188e-03
-1.864569e+01,2.316459e-03,1.452595e+02,-1.903531e-03,1.320058e-03
-1.856199e+01,2.332948e-03,1.450925e+02,-1.913196e-03,1.335039e-03
-1.847865e+01,2.349518e-03,1.449255e+02,-1.922858e-03,1.350131e-03
-1.839570e+01,2.366168e-03,1.447586e+02,-1.932515e-03,1.365334e-03
-1.831311e+01,2.382898e-03,1.445917e+02,-1.942167e-03,1.380648e-03
-1.823090e+01,2.399709e-03,1.444250e+02,-1.951815e-03,1.396073e-03
-1.814906e+01,2.416600e-03,1.442584e+02,-1.961456e-03,1.411610e-03
-1.806758e+01,2.433571e-03,1.440919e+02,-1.971091e-03,1.427259e-03
-1.798647e+01,2.450623e-03,1.439254e+02,-1.980720e-03,1.443019e-03
-1.790572e+01,2.467756e-03,1.437591e+02,-1.990341e-03,1.458890e-03
-1.782534e+01,2.484969e-03,1.435929e+02,-1.999954e-03,1.474873e-03
-1.774531e+01,2.502262e-03,1.434269e+02,-2.009559e-03,1.490969e-03
-1.766565e+01,2.519637e-03,1.432609e+02,-2.019156e-03,1.507176e-03
-1.758634e+01,2.537091e-03,1.430951e+02,-2.028743e-03,1.523495e-03
-1.750739e+01,2.554627e-03,1.429294e+02,-2.038320e-03,1.539926e-03
-1.742879e+01,2.572243e-03,1.427638e+02,-2.047887e-03,1.556469e-03
-1.735055e+01,2.589940e-03,1.425984e+02,-2.057443e-03,1.573124e-03
-1.727266e+01,2.607718e-03,1.424332e+02,-2.066989e-03,1.589891e-03
-1.719511e+01,2.625577e-03,1.422680e+02,-2.076522e-03,1.606770e-03
-1.711792e+01,2.643516e-03,1.421031e+02,-2.086043e-03,1.623761e-03
-1.704107e+01,2.661536e-03,1.419383e+02,-2.095552e-03,1.640864e-03
-1.696457e+01,2.679636e-03,1.417736e+02,-2.105047e-03,1.658080e-03
-1.688841e+01,2.697818e-03,1.416091e+02,-2.114529e-03,1.675407e-03
-1.681259e+01,2.716080e-03,1.414448e+02,-2.123996e-03,1.692847e-03
-1.673712e+01,2.734423e-03,1.412807e+02,-2.133449e-03,1.710398e-03
-1.666198e+01,2.752846e-03,1.411167e+02,-2.142887e-03,1.728062e-03
-1.658718e+01,2.771351e-03,1.409529e+02,-2.152310e-03,1.745837e-03
-1.651271e+01,2.789936e-03,1.407893e+02,-2.161716e-03,1.763724e-03
